section,group,id,text
Skit001,0,text01101,よくぞ参られた。<br><%me>殿。
Skit001,0,text01102,私がアークマである。
Skit001,0,text01103,アークスシップ対抗戦に関する<br>幾多の情報提供および<br>スターによる賞品の購入を担当する。
Skit001,0,text01104,ん？
Skit001,0,text01105,貴君の表情から<br>理解があいまいな状態と推測する。
Skit001,0,text01106,ならば、さっそくだが<br>私の任務を遂行するとしよう。
Skit001,0,text01107,これよりアークスシップ対抗戦の<br>ルール説明をチュートリアルにて行う。
Skit001,0,text01108,スキップせずに<br>しっかり確認する事を推奨する。
Skit001,1,text01101,"Welcome aboard, cadet<br><%me>."
Skit001,1,text01102,"Arkuma, at your service."
Skit001,1,text01103,I provide a plethora of particulars<br>about ARKS Ship Competitions. I also<br>facilitate star-based prize purchases.
Skit001,1,text01104,Hmm?
Skit001,1,text01105,Your facial expression suggests<br>an alarmingly high confuzzlement rate.
Skit001,1,text01106,"Allow me, then, to execute my<br>duties posthaste."
Skit001,1,text01107,Commencing tutorial on the rules<br>of ARKS Ship Competitions.
Skit001,1,text01108,Skip button avoidance and<br>careful observation of the rules<br>are recommended.
Skit002,0,text01201,いかがだっただろうか。<br>貴君ならば<br>理解可能だったと推測する。
Skit002,0,text01202,再度ルール確認を行う場合は<br>チュートリアルから<br>確認する事を推奨する。
Skit002,0,text01203,チュートリアルは<br>メインメニューのインフォメーションで<br>参照可能である。
Skit002,0,text01204,ラウンドの開始や終了時刻については<br>私が全アークスに向けて<br>一斉にアナウンスを行う。
Skit002,0,text01205,それでは<br><%me>殿。<br>このイベントを存分に満喫せよ。
Skit002,1,text01201,Was the tutorial to your liking? I'm quite<br>confident in your data retention capabilities.
Skit002,1,text01202,"If you desire a rules refresher,<br>I recommend viewing the tutorial."
Skit002,1,text01203,The tutorial can be accessed via [Information]<br>on the Main Menu.
Skit002,1,text01204,I will announce the start and end times<br>of the rounds to all ARKS operatives.
Skit002,1,text01205,"May your participation be profoundly<br>splendiferous, cadet <%me>."
Skit,0,text00,『アークスシップ対抗戦』について
Skit,0,text01,「アークスシップ対抗戦」について説明します。<br><br>アークスシップ対抗戦は、<yellow>期間限定で開催されるイベント<c>です。<br>全シップを「赤ラッピーグループ」「青ラッピーグループ」など<br>いくつかのグループに分け、それぞれ<c ff007f>「勝ち点」<c>を競います。<br><br>最終的に、<yellow>最も<c ff007f>「勝ち点」<yellow>が高かったグループ<c>が優勝です。<br><br>このイベントは、<c ffa800>「アークマ」<c>がナビゲーターを務めます。<br>アークマにアクセスすることで、現在の目標や順位を確認できたり、<br><yellow>入手した「スター<pict sb_star_icon><yellow>」で賞品を購入<c>できます。
Skit,0,text02,<yellow>■何をすればいいの？<c><br>このイベントでは、各プレイヤーは「ラウンド目標」を次々と達成し、<br>報酬の<yellow>「スター<pict sb_star_icon><yellow>」<c>と<yellow>「貢献ポイント」<c>を獲得していきます。<br>貢献ポイントの多いグループほど、最後に高い<c ff007f>「勝ち点」<c>を得ます。<br><br>　<green>・ラウンド目標とは<c><br>　　アークスシップ対抗戦は、複数の「ラウンド」で構成されています。<br>　　各ラウンドには「龍族を○匹倒せ」「特定クエストのクリア」などの<br>　　「ラウンド目標」が設定されており、達成すると報酬がもらえます。<br><br>　<green>・ラウンド目標達成でもらえる報酬<c><br>　　<yellow>「スター<pict sb_star_icon><yellow>」<c>……アークマのショップで賞品を購入するための通貨<br>　　<yellow>「貢献ポイント」<c>……所属グループの順位を上げるポイント
Skit,0,text03,<yellow>■勝ち負けのルールについて<c><br><br>ラウンド終了ごとに、参加者全員の「貢献ポイント」が集計され、<br>このポイントが多いグループ順に<c ff007f>「勝ち点」<c>が付与されます。<br><br>１位は５点、２位は４点という具合で、最終的に全ラウンドが終了した<br>時点で<c ff007f>「累計勝ち点」<c>が<yellow>最も高かったグループが優勝<c>となります。<br><br>ラウンド終了後、ショップエリアにある巨大モニターで「結果発表」が<br>行われますので、アナウンスがあったらみんなで集まりましょう！<br><br>全ラウンドが終了して「最終結果発表」が終わると、順位報酬として<br>参加者にスター<pict sb_star_icon>が渡され、アークマのショップに追加賞品が並びます。
Skit,0,text04,<yellow>■メニューについて<c><br><br>アークスシップ対抗戦に関するメニューは、大きく２つあります。<br><br>　<green>・メインメニュー<c><br>　　「クエスト」＞「開催中イベント」＞「アークスシップ対抗戦」で<br>　　あなたの現在の所持スター<pict sb_star_icon>数や、開催中のラウンド情報で<br>　　現在の「ラウンド目標」などを確認できます。<br><br>　<green>・対抗戦メニュー<c><br>　　アークマに話しかけた時のメニューからは、過去のラウンド情報や<br>　　現在の<c ff007f>「累計勝ち点」<c>情報を確認できます。<br>　　スター<pict sb_star_icon>を使用し、賞品を購入するショップもこちらです。
Skit,0,text05,<yellow>■その他の説明<c><br><br>　<green>・「ラウンドブースト」について<c><br>　　各ラウンドの結果に応じて、<br>　　獲得経験値アップやレアドロップ倍率などのブーストの倍率が変わります。<br>　　次に向けて頑張りましょう！<br><br>　<green>・シップ移動に関する注意事項<c><br>　　所持スター<pict sb_star_icon>数や貢献ポイントは<yellow>各シップに保存<c>されており、<br>　　シップ移動をしても、移動先のシップに持って行くことはできません。<br><br>※このチュートリアルは、メインメニューの<br>　　「システム」＞「インフォメーション」＞「チュートリアル確認」で<br>　　いつでも見ることができます。
Skit,1,text00,ARKS Ship Competition
Skit,1,text01,"The ARKS Ship Competition is a <yellow>limited-time<br>event<c>.All ships are divided into groups<br>(Red Rappy Group, Blue Rappy Group, etc.)<br>which then compete for <c ff007f>ranking points<c>.<br><br>The group with the most <yellow>ranking points<c><br>at the end of the competition is the winner.<br><br>Competitions are administrated by <c ffa800>Arkuma<c>.<br>Access Arkuma to confirm your current goals<br>and placement, and to <yellow>purchase rewards<c> using<br>stars<pict sb_star_icon> you've earned."
