section,group,id,text
un_064060,0,un_064060_0010,ごきげんよう、マスター！<br>「白き綿雲」ルコット、ですわ。
un_064060,0,un_064060_0020,し、「白き綿雲」……？<br>なんですか、それ！？
un_064060,0,un_064060_0030,ふふっ……<br>キョーさんの二つ名の真似ですわ。<br>どうです、マスター？
un_064060,0,un_064060_0040,素敵な二つ名だね
un_064060,0,un_064060_0050,どうですと言われても……
un_064060,0,un_064060_0060,お褒めにあずかり光栄ですの！<br>照れちゃいますの！
un_064060,0,un_064060_0070,あら、お気に召しませんの？<br>ちょっぴり残念ですの……
un_064060,0,un_064060_0080,二つ名って、自分で名乗る時は<br>とっても勇気が要るものでしたのね……<br>キョーさんの勇気は、すごいですわ！
un_064060,0,un_064060_0090,そうそう、二つ名って<br>小さかった頃、いきなりキョーくんが<br>名乗り始めたんですよね！
un_064060,0,un_064060_0100,「今日から“流星の一番星”と呼べ」<br>……って！
un_064060,0,un_064060_0110,いきなりで、びっくりしましたよ。<br>一度も呼びませんでしたけど！
un_064060,0,un_064060_0120,懐かしいですの。<br>あれはちょうど、わたくしの身体が<br>急性フォトン増進を起こす前ですの。
un_064060,0,un_064060_0130,そうですよ！<br>驚いたと言えば、ルコがキャストに<br>なったときも驚きました！
un_064060,0,un_064060_0140,突然、学校を長く休んだと思ったら<br>いきなりキャストになって帰ってきて！<br>背は高くなってるし、即卒業ですし！
un_064060,0,un_064060_0150,そうでしたわね。通常ならキャスト化は<br>出生後、すぐに適性で判断されますから<br>後天性の急なフォトン増進はまれで……
un_064060,0,un_064060_0160,異例ながら、認めていただいて<br>幼年学校に通っていた途中でしたが<br>キャスト化することになりましたの。
un_064060,0,un_064060_0170,結果、わたくしだけ<br>幼年学生ながら、いきなり現在の<br>キャストの身体になりましたから……
un_064060,0,un_064060_0180,最初は、ストラトスとキョーさんに<br>怖がられたり、嫌われたりするかもと<br>不安でしたの……
un_064060,0,un_064060_0190,嫌うなんて、ありえません！<br>どうあっても、ルコはルコですし<br>大切な友達に変わりありません！
un_064060,0,un_064060_0200,ふふっ。ストラトスは、昔から<br>ずっとそう言ってくれてますものね。
un_064060,0,un_064060_0210,でも、あの当時……<br>キャスト化の後、わたくしの本来の心は<br>失われかけていましたの……
un_064060,0,un_064060_0220,わたくしは、おもてなしが好き……<br>戦闘のために心を殺すことができず<br>行動が停止した、あの時も……
un_064060,0,un_064060_0230,ストラトスとキョーさんに<br>「心を殺す必要はない、自分らしく」<br>と励まされて、立ち直れましたの。
un_064060,0,un_064060_0240,あの時、ストラトスがくれた<br>お花のアクセサリーは、今も大事に<br>肌身離さず、持っていますわ。
un_064060,0,un_064060_0250,懐かしいですね。<br>ルコットが元気になるように、って<br>願って作ったんです。
un_064060,0,un_064060_0260,あれ……？<br>あの時、キョーくんも何かを<br>プレゼントしていたような……？
un_064060,0,un_064060_0270,はいですの！<br>あの時、キョーさんがくれたのが<br>わたくしの「二つ名」でしたわ。
un_064060,0,un_064060_0280,ああっ、私も思い出しました！<br>ルコ、二つ名をプレゼントされて<br>呆然としてましたよね！
un_064060,0,un_064060_0290,あの時、頂いた二つ名は<br>「流れゆく白雲」でしたわ。
un_064060,0,un_064060_0300,そうそう、いい案が出なかったって<br>キョーくん、悔しがってましたよ！<br>あ、ルコの「白き綿雲」って……？
un_064060,0,un_064060_0310,ふふっ……<br>キョーさんとわたくしの<br>合作ですの。
un_064060,0,un_064060_0320,いいなあ、なんだか私も<br>二つ名が欲しくなってきました……<br>そうすれば、三人で……
un_064060,0,un_064060_0330,ならば、くれてやる……<br>今からお前は、“蒼き閃光”ストラトス<br>……そう名乗るがいい。
un_064060,0,un_064060_0340,「蒼き閃光」……！<br>さすが、キョーくんです！
un_064060,0,un_064060_0350,はいですの！<br>凜々しくて、ストラトスに<br>とってもお似合いですの！
un_064060,0,un_064060_0360,そ、それでは<br>恐縮ですが、早速……
un_064060,0,un_064060_0370,「蒼き閃光」のストラトス！
un_064060,0,un_064060_0380,「白き綿雲」のルコット！
un_064060,0,un_064060_0390,こ、これは……<br>照れちゃって、ダメです！<br>やっぱり、なしで！
un_064060,0,un_064060_0400,そうですの……？<br>かっこいいと思いましたのに<br>ちょっぴり残念です
un_064060,1,un_064060_0010,"Greetings, Master!<br>I'm Lukot, callsign ""Pale Nimbus""!"
un_064060,1,un_064060_0020,"""P-Pale Nimbus""...?<br>Where did you come up with that?"
un_064060,1,un_064060_0030,"Heehee... I got the idea from Kyokie. <br>What do you think, Master?"
un_064060,1,un_064060_0040,That's a pretty nice callsign.
un_064060,1,un_064060_0050,I guess it's okay...
