section,group,id,text
BubbleMessage,0,Q0,よう！
BubbleMessage,0,HELLO,よう！
BubbleMessage,0,HELLO_FAV4,よう！
BubbleMessage,0,HELLO_FAV3,よう！
BubbleMessage,0,HELLO_FAV2,よう！
BubbleMessage,0,HELLO_FAV1,よう！
BubbleMessage,0,HELLO_FAV0,よう！
BubbleMessage,0,GOODBYE,またな！
BubbleMessage,0,GOODBYE_FAV4,またな！
BubbleMessage,0,GOODBYE_FAV3,またな！
BubbleMessage,0,GOODBYE_FAV2,またな！
BubbleMessage,0,GOODBYE_FAV1,またな！
BubbleMessage,0,GOODBYE_FAV0,またな！
BubbleMessage,1,Q0,Hey!
BubbleMessage,1,HELLO,Hey!
BubbleMessage,1,HELLO_FAV4,Hey!
BubbleMessage,1,HELLO_FAV3,Hey!
BubbleMessage,1,HELLO_FAV2,Hey!
BubbleMessage,1,HELLO_FAV1,Hey!
BubbleMessage,1,HELLO_FAV0,Hey!
BubbleMessage,1,GOODBYE,See ya!
BubbleMessage,1,GOODBYE_FAV4,See ya!
BubbleMessage,1,GOODBYE_FAV3,See ya!
BubbleMessage,1,GOODBYE_FAV2,See ya!
BubbleMessage,1,GOODBYE_FAV1,See ya!
BubbleMessage,1,GOODBYE_FAV0,See ya!
Choices,0,00_01,選択肢その１
Choices,0,00_02,選択肢その２
Choices,0,TALK_ST,会話する
Choices,0,C_ORDER_ST,相談を聞く
Choices,1,00_01,Option 1
Choices,1,00_02,Option 2
Choices,1,TALK_ST,Talk
Choices,1,C_ORDER_ST,Listen
