section,group,id,text
ssn_015060,0,name_7740,トラクスタン
ssn_015060,0,ssn_015060_0001,この深く降り積もった雪の下には、<br>かつての生活の痕跡が眠っている。
ssn_015060,0,ssn_015060_0002,ロマンを感じるとは思わないか？
ssn_015060,0,ssn_015060_0003,この話は、<br>ここを訪れた全員にしているのだが……。
ssn_015060,0,ssn_015060_0004,ここから東にある、レイヨルド峡江……。<br>あそこは、とても危険な場所だ。
ssn_015060,0,ssn_015060_0005,ほかの地よりもはるかに気温が低く、<br>防寒対策をせずに行くと、たちどころに体力を奪われてしまう。
ssn_015060,0,ssn_015060_0006,エネミーも強力で、<br>中途半端な装備では太刀打ちできないだろう。
ssn_015060,0,ssn_015060_0007,キミも、もう少し実力をつけたら、<br>あそこに行くためのアドバイスをしよう。
ssn_015060,0,ssn_015060_0101,このクヴァリスには、<br>まだまだ無数の強敵がいる。
ssn_015060,0,ssn_015060_0102,強いアークスであれば、<br>そうしたエネミーに挑んでみたくなるものだろう。
ssn_015060,0,ssn_015060_0103,詳しい話をしたいが、<br>まずはキミの実力を測りたい。
ssn_015060,0,ssn_015060_0104,このキャンプに、<br>物資管理を担当しているレソという者がいる。
ssn_015060,0,ssn_015060_0104_001,僕の隣にいるレソが、<br>この隊の物資管理を担当している。
ssn_015060,0,ssn_015060_0105,彼女と、物品の交換契約をしてきてくれ。<br>それが強さの証明となるだろう。
ssn_015060,0,ssn_015060_0201,僕の名は、トラクスタン。<br>この先遣隊で、エネミーのデータ解析を担当している。
ssn_015060,0,ssn_015060_0202,キミは、このクヴァリスで、<br>数多くのエネミーと戦ってきたようだね。
ssn_015060,0,ssn_015060_0203,だが、このクヴァリスには、<br>さらなる強敵がいるようだ。
ssn_015060,0,ssn_015060_0204,もし、興味があれば詳しく話そう。<br>どうかな？
ssn_015060,0,ssn_015060_0301,レイヨルド峡江の強敵に対抗するため、<br>まずは“ノータ・クヴァルガッキー”を探してくれ。
ssn_015060,0,ssn_015060_0302,北クヴァリスで見られるが、<br>朝から昼にかけてしか採れない。
ssn_015060,0,ssn_015060_0303,もし、見つけられないようなら、<br>日を改めて探してみるといい。
ssn_015060,0,ssn_015060_0401,そうか。<br>残念だが、仕方がない。
ssn_015060,0,ssn_015060_0402,気が変わったら、<br>声をかけてくれ。
ssn_015060,0,ssn_015060_0501,次は、“ノータ・クヴァルスクイド”だ。
ssn_015060,0,ssn_015060_0502,中央クヴァリスに生息しているが、<br>夜にしか見つからない。気を付けてくれ。
ssn_015060,0,ssn_015060_1001,“ノータ・クヴァルガッキー”と、<br>“ノータ・クヴァルスクイド”。両方とも揃ったようだね。
ssn_015060,0,ssn_015060_1002,では、次のステップに進もう。<br>聞いてくれ。
ssn_015060,0,ssn_015060_1101,レソは希少な物品を、<br>いろいろと取り扱っている。
ssn_015060,0,ssn_015060_1102,集めた食材を、<br>防寒用の物品と交換してみてくれ。
ssn_015060,0,ssn_015060_1201,そうか。<br>残念だが、仕方がない。
ssn_015060,0,ssn_015060_1202,気が変わったら、<br>声をかけてくれ。
ssn_015060,0,ssn_015060_1301,手に入れられたようだね。
ssn_015060,0,ssn_015060_1302,それは、使い捨ての蓄熱材で、<br>“クイックフード”などよりも身体が温まる。
ssn_015060,0,ssn_015060_1303,レイヨルド峡江で、長時間活動するときは、<br>安全のためにも必ず使うようにしてほしい。
ssn_015060,0,ssn_015060_2001,さて、準備は整ったな。<br>レイヨルド峡江の強敵の話をしよう。
ssn_015060,0,ssn_015060_2002,準備ができたら、言ってくれ。
ssn_015060,0,ssn_015060_2101,“エンシェントエネミー”。<br>強敵を求める者は、恰好の標的になるだろう。
ssn_015060,0,ssn_015060_2102,防寒対策と装備を整えて、<br>行ってみてほしい。
ssn_015060,0,ssn_015060_2201,そうか。<br>やる気になったら、いつでも言ってくれ。
ssn_015060,0,ssn_015060_2301,あれから、<br>“エンシェントエネミー”には挑んでみただろうか？
ssn_015060,0,ssn_015060_2302,強力なエネミーの存在が、<br>アークスをより強くする。
ssn_015060,0,ssn_015060_2303,皮肉な話だが、それが
ssn_015060,1,name_7740,Truxtun
ssn_015060,1,ssn_015060_0001,The remains of civilization lie buried beneath this snow.
ssn_015060,1,ssn_015060_0002,It's like adventure is waiting just below our feet.
ssn_015060,1,ssn_015060_0003,"I say this to everyone who comes here, but..."
