section,group,id,text
CharaName,0,name01,？？？
CharaName,0,name02,？？？
CharaName,1,name01,???
CharaName,1,name02,???
un_010470_om,0,un_010470_0010,……こんにちは。
un_010470_om,0,un_010470_0020,……最近、ナベリウスに来る<br>アークスが増えているわね。
un_010470_om,0,un_010470_0030,……このまえ、ダーカーがいっぱい<br>出現して以来、と言うべきかしら。
un_010470_om,0,un_010470_0040,……実はこれ、あまり良くない傾向。<br>アークスがいっぱいいるというのは<br>そこが危ないっていうことだから。
un_010470_om,0,un_010470_0050,……私もアークスだけど<br>出来るなら、アークスとしての<br>活動をしなくてすむようにしたい。
un_010470_om,0,un_010470_0060,……それがきっと<br>平和ってことだから。
un_010470_om,0,un_010470_0070,……私と同じ事を言っている人？<br>そう……そういう人もいるのね。
un_010470_om,1,un_010470_0010,Hello...
un_010470_om,1,un_010470_0020,There certainly are more and more ARKS<br>operatives coming to Naverius these days.
un_010470_om,1,un_010470_0030,At least that has been the case ever since<br>all these Falspawn started to appear.
un_010470_om,1,un_010470_0040,"Actually... I am a little worried about the way<br>things are going. As the saying goes,<br>""Where there is ARKS, there is danger."""
un_010470_om,1,un_010470_0050,"I am an ARKS operative myself, but I would<br>prefer to avoid working as one<br>as much as possible."
un_010470_om,1,un_010470_0060,Because having no work would mean we are finally at peace.
un_010470_om,1,un_010470_0070,You say there is someone else<br>who feels the same?<br>Hmm... Good to know it is not just me.
