section,group,id,text
TutorialText,0,title00,『チャレンジクエスト』について
TutorialText,0,title01,『エクストラチャージボーナス』について
TutorialText,0,text01,『チャレンジクエスト』について説明します。<br><br><red>チャレンジクエストはＶＲエネルギーが<br>切れるまでに指定されたミッションのクリアを<br>目標とするクエスト<c>です。<br><br>以下の条件でクエストクリアとなります。<br><yellow>・指定のミッションをクリアする<br>・ＶＲエネルギーが無くなる<c><br><br>ＶＲエネルギーは参加者共有です。<br>緑色のバーで残量が表示されています。
TutorialText,0,text02,『チャレンジャー』<br>について説明します。<br><br>チャレンジクエストではクラスが<br>「チャレンジャー」に変更されます。<br><br>チャレンジャーには以下の特徴があります。<br><yellow>・全ての武器、防具を装備できる<br>・ＰＡ、テクニック、スキルを無条件で<br>　ディスクから習得・装備する事ができる<c><br><br>スタンスは2つまで同時使用可能です。<br>※一部同時使用不可なスタンスも存在します
TutorialText,0,text03,『ＶＲエネルギー』について説明します。<br><br>ＶＲエネルギーとはクエスト中に<br>消費される、制限時間のようなものです。<br><br>ＶＲエネルギーは以下の条件で消費されます。<br><yellow>・クエスト中の時間経過（一部クエストのみ）<br>・プレイヤーが戦闘不能になる<c><br><br>ＶＲエネルギーはエネルギーカプセルを<br>拾う事で回復することが出来ます。<br>拾ったエネルギーは参加者間で共有されます。<br><red>※ミニマップに表示されないカプセルも<br>存在します<c>
TutorialText,0,text04,戦闘不能になるとＶＲエネルギーを<br>大幅に消費してしまいます。<br><br>以下の方法で復活した際は一定量を<br>回復することが可能です。<br><yellow>・ムーンアトマイザーを使用する<c><br><br><red>上記以外の方法で復活した場合<br>消費したＶＲエネルギーは回復しない<c>ので<br>積極的に仲間を復活させましょう。<br><br>また、<yellow>チャレンジドール<c>を所持している場合<br>戦闘不能者は自動的に復活するため<br>ＶＲエネルギーを消費しません。
TutorialText,0,text05,『インターバルエリア』について説明します。<br><br>クエスト中にインターバルエリアと呼ばれる<br>休憩ポイントが存在します。<br>このエリアにプレイヤーが到達した時点で<br>時間経過によるＶＲエネルギーの<br>消費が停止します。<br>※戦闘不能時のエネルギー消費及び<br>ムーンアトマイザーによる回復は発生します<br><br>また、一定時間後このエリアに到達していない<br>全てのプレイヤーが強制転送されます。<br><red>戦闘不能のプレイヤーは復活しますが<br>ＶＲエネルギーは回復しません。<c>
TutorialText,0,text06,インターバルエリアではリサイクルショップで<br>有用なアイテムとの交換が可能です。<br><br>次以降のミッションに向けて回復アイテムを<br>補充したり、武器やディスクの交換を<br>行いましょう。<br><br>交換アイテムが足りない場合は<br>パーティーメンバーに貰うのも有効な手段です。
TutorialText,0,text07,『チャレンジマイル』について説明します。<br><br>チャレンジクエストをクリアすると<br>チャレンジマイルを取得する事が出来ます。<br>チャレンジマイルはショップエリアで<br>各種アイテムに交換が可能です。<br><br>マイルは主に以下の方法で獲得できます。<br><yellow>・ミッションをクリアする<br>・マイルクリスタルの入手<c><br>ミッションのクリア率はエリアの<br>先頭プレイヤーの位置で決まります。<br>また、マイルクリスタルの獲得量は<br>参加者全員で共有されます。
TutorialText,0,text08,『自己最高記録タグ』について説明します。<br><br>チャレンジクエストをクリアすると<br>次回以降チャレンジクエスト内に<br>自己最高記録タグが配置されます。<br><br>これは自分の最高到達記録を示すものとなり<br>記録を更新すると位置が更新されます。<br><br>自分の記録は青色。<br>他のプレイヤーは銀色で表示されています。
TutorialText,0,text09,チャレンジクエストでは<br>エネミーが落としたアイテムや<br>コンテナから出現したアイテムは<br>自分だけが拾えるアイテムとなります。<br><br><yellow>他のプレイヤーは拾うことが出来ませんので<br>出現したアイテムは積極的に拾いましょう。<c>
TutorialText,0,text10,『エクストラチャージボーナス』について <br>説明します。 <br> <br>VRエネルギーを100%以上回復した場合、 <br>回復量に応じてエクストラチャージボーナスを<br>得ることが出来ます。<br><br>エクストラチャージボーナスは <br>2.5%毎に1チャレンジマイルが付与されますが、  <br><red>VRエネルギーが100%を超えて回復することは<br>ありません。<c>
TutorialText,1,title00,Challenge Quests
TutorialText,1,title01,Extra Charge Bonuses
