section,group,id,text
BubbleMessage,0,Q0,こんにちは
BubbleMessage,0,HELLO,こんにちは
BubbleMessage,0,HELLO_FAV4,こんにちは
BubbleMessage,0,HELLO_FAV3,こんにちは
BubbleMessage,0,HELLO_FAV2,こんにちは
BubbleMessage,0,HELLO_FAV1,こんにちは
BubbleMessage,0,HELLO_FAV0,こんにちは
BubbleMessage,0,GOODBYE,さようなら
BubbleMessage,0,GOODBYE_FAV4,さようなら
BubbleMessage,0,GOODBYE_FAV3,さようなら
BubbleMessage,0,GOODBYE_FAV2,さようなら
BubbleMessage,0,GOODBYE_FAV1,さようなら
BubbleMessage,0,GOODBYE_FAV0,さようなら
BubbleMessage,1,Q0,Hola.
BubbleMessage,1,HELLO,Hola.
BubbleMessage,1,HELLO_FAV4,Hola.
BubbleMessage,1,HELLO_FAV3,Hola.
BubbleMessage,1,HELLO_FAV2,Hola.
BubbleMessage,1,HELLO_FAV1,Hola.
BubbleMessage,1,HELLO_FAV0,Hola.
BubbleMessage,1,GOODBYE,Adios
BubbleMessage,1,GOODBYE_FAV4,Adios
BubbleMessage,1,GOODBYE_FAV3,Adios
BubbleMessage,1,GOODBYE_FAV2,Adios
BubbleMessage,1,GOODBYE_FAV1,Adios
BubbleMessage,1,GOODBYE_FAV0,Adios
Choices,0,00_01,選択肢その１
Choices,0,00_02,選択肢その２
Choices,0,TALK_ST,会話する
Choices,0,C_ORDER_ST,相談を聞く
Choices,1,00_01,Opcion 1
Choices,1,00_02,Opcion 2
Choices,1,TALK_ST,Hablar
Choices,1,C_ORDER_ST,Escuchar
