section,group,id,text
un_049110,0,un_049110_0010,……だからー、あたしたちにも<br>そういうのが欲しいなー、って思ったの。
un_049110,0,un_049110_0020,ええと、私にそんな猫なで声で迫られましても……<br>……あっ！　<%me>さん！<br>た、助けてくださいー！
un_049110,0,un_049110_0030,何してるの？
un_049110,0,un_049110_0040,情報収集中？
un_049110,0,un_049110_0050,ううん、これはただ単純に<br>パティちゃんが駄々こねてるだけだから。
un_049110,0,un_049110_0060,あたしたちも、守護輝士みたいな<br>カッコいい呼び名が欲しい！
un_049110,0,un_049110_0070,とかなんとか突然言い始めて……
un_049110,0,un_049110_0080,専用の肩書き……いいよねぇー……！<br>あたしたち、アークスいちの情報屋と名乗っているけども<br>それはあくまで自称じゃん？
un_049110,0,un_049110_0090,えっ……！<br>パティちゃんあれ自称ってわかってたんだ！
un_049110,0,un_049110_0100,だから、ここでひとつ！<br>アークスからのお墨付き、っていうのを<br>ひとつ、バシンともらいたいの！
un_049110,0,un_049110_0110,そう言われましても、あの肩書きは<br>ウルク総司令の発案なんで、私にはなんとも。
un_049110,0,un_049110_0120,そういえば、六芒に据えるとかじゃなくて<br>専用の肩書きを作ったのは何でなんだろう？
un_049110,0,un_049110_0130,ええっとですね、当初は<br><%me>さんとマトイさんを<br>新たな六芒に据えるという話もありました。
un_049110,0,un_049110_0140,ですが、六芒は個人の判断よりも<br>アークスとしての判断を優先する方々。
un_049110,0,un_049110_0150,<%me>さんとマトイさんは<br>そうじゃないだろう、という話になりまして。
un_049110,0,un_049110_0160,その結果、新しい肩書きを作ることになった、と。<br>確かに、二人とも組織に縛っても<br>無駄って感じだもんね。
un_049110,0,un_049110_0170,ちなみにこれ、褒めてないからね。<br>勝手に動いちゃって困るって話だよ。
un_049110,0,un_049110_0180,いいなー、いいなあー……<br>守護輝士の役割ってあれでしょ？<br>自由気ままにやっていいよ、ってことでしょ？
un_049110,0,un_049110_0190,いや、たぶんパティちゃんの考える自由と<br>この人に許された自由は全然違う！
un_049110,0,un_049110_0200,あたしもそういうのがいいなー！<br>戦闘部所属とかじゃなくて、専用の肩書き！<br>そういうのが欲しいなー！　ねえねえねーえー？
un_049110,0,un_049110_0210,そんなにせびられても<br>無理なものは無理ですって。
un_049110,0,un_049110_0220,あきらめなければ夢は叶うものなんだよ！<br>じゃあどうやったら専用の肩書き、もらえるの？
un_049110,0,un_049110_0230,うーん、そうですねえ……<br><%me>さんみたいに<br>偉大な功績を成し遂げたり、とか？
un_049110,0,un_049110_0240,功績……？　あっ、あるよ！　功績！<br>この人を支え、導いた偉大な情報を<br>提供したのは、何を隠そうあたしたち！
un_049110,0,un_049110_0250,とんでもない嘘をつくなバカ姉。
un_049110,0,un_049110_0260,……でも、アークスの歴史を揺るがすような<br>すごい情報をつかんできたりしたら<br>あるいは可能性、あるんじゃないかな？
un_049110,0,un_049110_0270,誰も知らないようなとびきりのネタだね！<br>よーっし、それじゃあそれを探しに行こう！<br>世界のどっかにはあるでしょ、そういうの！
un_049110,0,un_049110_0280,……よし、乗っかった。<br>これでしばらくは情報収集とかも<br>真面目にやってくれるはず。
un_049110,0,un_049110_0290,ティアー！<br>ぼーっとしてたら特ダネ誰かに<br>もってかれちゃうよー！　早く早くー！
un_049110,0,un_049110_0300,お二人とも、ご迷惑をおかけしました。<br>それじゃ、私もこれで。
un_049110,0,un_049110_0310,はいはいパティちゃん。<br>具体的に何から探しにいくつもり？
un_049110,0,un_049110_0320,ずばり！　深遠なる闇の消し方！<br>シャオ君よりも先に見つけだーす！
un_049110,0,un_049110_0330,マジか……<br>確かにそれ見つけたら<br>専用の肩書きもらえちゃいそうだ
un_049110,1,un_049110_0010,"...Y ahi pense que ""Hey, nosotros tambien queremos uno de esos."""
un_049110,1,un_049110_0020,"Uhhh, mire, incluso si me dan esos ojos de perro congelados... Ah! P-¡Ayuda!"
un_049110,1,un_049110_0030,¿Que estas haciendo?
un_049110,1,un_049110_0040,¿Esto es como se recopila informacion?
un_049110,1,un_049110_0050,"Ah, esto? Esto es simplemente Pati divirtiendose."
un_049110,1,un_049110_0060,Queremos uno de esos nombres emocionantes como los Guardianes tambien!
un_049110,1,un_049110_0070,Ella simplemente comenzo diciendo esto todo de repente...
un_049110,1,un_049110_0080,"Nuestro propio titulo... ¡Seria tan cool! Somos ARKS' numero uno fuente de noticias, pero eso es solo un titulo que nos damos nosotros mismos, ¿cierto?"
un_049110,1,un_049110_0090,"¿Que?...! Pati, ¿tu sabes que ese no es un titulo real!"
un_049110,1,un_049110_0100,Pero esto seria el verdadero trato. Quiero obtener uno con la aprobacion de ARKS.
un_049110,1,un_049110_0110,"Usted puede preguntar todo lo que quiera, pero esos titulos fueron propuestos por el almirante Ulku y no puedo hacer nada al respecto."
