section,group,id,text
5001,0,EnemyWeak,相手が弱くても油断は禁物だ<br>気を抜くなよ！
5001,0,EnemyLarge,無駄に大きく進化しやがって！
5001,0,EnemyBoss,ヘッ、真打ち登場ってとこだな！
5001,0,EnemyRare,おっ、なんだあいつ<br>珍しいヤツなんじゃねえか？
5001,0,EnemyBoost,……いつものヤツとは<br>雰囲気が違うぞ、気をつけろ
5001,0,DestroyEnemy1,一丁あがり！
5001,0,DestroyEnemy2,次行くぜ！
5001,0,DestroyEnemy3,さあ次だ！
5001,0,CondFreeze,寒っ！
5001,0,CondBurn,熱っちゃあっ！
5001,0,CondShock,くそっ、痺れが……
5001,0,CondPoison,ちっ……毒かよ……！
5001,0,CondPanic,視界が定まらねえ……！
5001,0,CondStan,身体が動かねえ……だと！
5001,0,CondMirage,目がかすみやがる……
5001,0,Die,なんてこった……
5001,0,ThankHeal,助かったぜ！
5001,0,ThankBuff,おっ、サンキュな！
5001,0,ThankCure,やれやれ……<br>これで心おきなく戦えるな
5001,0,DefeatEnemy,これで一段落か？
5001,0,LevelUp,まだまだ伸びるぜ、お前さんは
5001,0,InvokeSkill1,こいつで終わりだ！
5001,0,InvokeSkill2,狙い通りの動きだな！
5001,0,InvokeSkill3,見え見えなんだよ！
5001,0,PBFull,そろそろ見せ場ってところか？
5001,0,PBRelease,奥の手、行くぜ！
5001,0,TacticsFree,自由にやらせてもらうぜ！
5001,0,TacticsGuard,防御を固めて仕切り直すか
5001,0,TacticsMassedAttack,一点集中だ！
5001,0,TacticsAttack,そら、こっちに来いよ！
5001,0,Avoid,よっと！
5001,0,HealSelf,危ねえ危ねえ
5001,0,BuffSelf,油断せずに行くぜ
5001,0,HealOther,危ないところだったな
5001,0,BuffOther,あんまり油断するなよ
5001,0,QuestStart1,はじめるか！
5001,0,QuestStart2,おっしゃ、行こうぜ<br><%me>！
5001,0,QuestEnd1,終わりっと！
5001,0,QuestEnd2,終わりだな！<br>お前さんもお疲れ！
5001,0,IncidentStart,不測の事態ってやつか<br>まあ、戦場にはつきものだ！
5001,0,IncidentSuccess,よっしゃ！
5001,0,IncidentFailure,あーっちゃあ……
5001,0,PSE,始まったか！
5001,0,PSELevelUp,さらに続けて行こうぜ！
5001,0,PSEBurst,よっし！<br>こっちもテンション上げてくか！
5001,0,HP30,おっと、結構食らったか？
5001,0,HP10,前衛はやっぱキツいな……
5001,0,ItemRare,おっ、いいもん拾ったな！
5001,0,DamageSmall,うっ
5001,0,DamageMiddle,ちいっ
5001,0,DamageLarge,ぐあっ
5001,0,Trap,こんなところに罠かよ！
5001,0,ThankTrapRescue,ふぃー、助かったぜ
5001,0,TrapRescueOther,おい、大丈夫か？
5001,0,MemberDamaged,大丈夫か！
5001,0,MemberDead,……やりやがったな！<br>オレの目の前で！！
5001,0,AbilityExe,/toge 調子が出てきたぜ！
5001,0,AbilitySpecial,/toge 任せとけ！
5001,0,Resurrect,……調子乗るなよ
5001,0,PartyJoin,/ci1 1 んじゃ、よろしくな
5001,0,Marvelous,いい動きだ！
