section,group,id,text
st_056210,0,st_056210_0010,……クエントとは違って<br>なんていうか、特徴的なお城ですねえ。
st_056210,0,st_056210_0020,ウチにはあんな豪奢な建物を<br>作る余裕なんかないの。<br>建材もったいないでしょ？
st_056210,0,st_056210_0030,ここだって、アタシの代になってから<br>暇してた人たちに作らせたものよ。<br>アタシを敬いながら歩きなさい。
st_056210,0,st_056210_0040,お帰り、お待ちしておりました。<br>神王マルガレータ様。
st_056210,0,st_056210_0050,あれ、アンタは……
st_056210,0,st_056210_0060,神王様に楽しんでいただけるよう<br>精一杯配慮したつもりだったのですが<br>……如何でしたでしょうか。
st_056210,0,st_056210_0070,しかし、即座にクエントを頼ったのは<br>流石に予想外でした。<br>そして、クエントがそれに応じるのも。
st_056210,0,st_056210_0080,……誰だっけ？
st_056210,0,st_056210_0090,じ、自分の神官を忘れるのか！？<br>貴方に召喚術を指南したこの僕を！
st_056210,0,st_056210_0100,……ああやっぱり<br>敬語、無理していたのねえ。<br>喋りにくそうだなとは思ってたわ。
st_056210,0,st_056210_0110,阿呆ねえ、忘れるわけないでしょ。<br>神が裏切り者を許した例があるとでも？<br>覚えてないのは、アンタの名前よ。
st_056210,0,st_056210_0120,ハッ！　まったく、頭が回るんだか<br>馬鹿なんだか、わからなくて困るねえ。<br>まあ、その方が面白いけど、サ。
st_056210,0,st_056210_0130,……貴方は、ヴェルンの！
st_056210,0,st_056210_0140,それで、戻ってきてどうしたいの？<br>降参宣言でもしに来たのかしら？
st_056210,0,st_056210_0150,いやいや、ちょーっと物足りないから<br>最後のもう一押しを、サ。
st_056210,0,st_056210_0160,ふうん。<br>とにかく、まだ悪さするつもりなのね。<br>この神王マルガレータの、王宮で。
st_056210,0,st_056210_0170,ここでならアタシは何でも出来るって<br>アンタはよく知ってると思ったけどね。
st_056210,0,st_056210_0180,っ！？
st_056210,0,st_056210_0190,マルガレータ＝オブ＝エピックが命ず。<br>アンタはここで死になさい。
st_056210,0,st_056210_0200,が！？
st_056210,0,st_056210_0210,はい、咀嚼。
st_056210,0,st_056210_0220,い、今のは……？
st_056210,0,st_056210_0230,エピックに伝わる神術。<br>長き信仰が形をなした、奇跡の力よ。
st_056210,0,st_056210_0240,もっとも、ここでしか使えないし<br>見た目エグいのがイヤなのよねー。
st_056210,0,st_056210_0250,じゃあ、ずっとここにいれば<br>マルさんは安全だったんじゃ？
st_056210,0,st_056210_0260,アタシだけ安全でどうするのよ？<br>それで国が成り立つとでも？
st_056210,0,st_056210_0270,さ、それよりアナタたちを帰さないと。<br>ここで喚びだしたんだけど、同じ場所で<br>同じようにやればいいのかしら？
st_056210,0,st_056210_0280,あ、はい、そうですね。
st_056210,0,st_056210_0290,それじゃ二人ともこっちに来て。<br>ああ大丈夫、神への不敬がない限り<br>さっきみたいなのは出来ないから。
st_056210,0,st_056210_0300,さーって、それじゃさっそく……
st_056210,0,st_056210_0310,かかったね、マヌケ。
st_056210,0,st_056210_0320,なっ、何コレ！？
st_056210,0,st_056210_0330,あれはエフィメラ……！？
st_056210,0,st_056210_0340,抜けてるねえ神王マルガレータ。<br>最後の一押しって言っただろう。
st_056210,0,st_056210_0350,僕を殺してもらうのが<br>最後の一押しなんだよ。<br>この場を乗っ取るための、ね。
st_056210,0,st_056210_0360,あとは神の供物たる君の身体。<br>そこへ……因子を移すだけ、サ。
st_056210,0,st_056210_0370,あっ、これ、やばッ……！<br>えいくそ、仕方がないわねっ！<br>そぉらっ、帰れっ！
st_056210,0,st_056210_0380,身体が……消えていく！？
st_056210,0,st_056210_0390,ちょっと馬鹿王！<br>アタシたちのことより<br>自分のこと考えなさいよ！　馬鹿！
st_056210,0,st_056210_0400,不敬やめろ！　死んじゃうわよ！<br>アンタたちを戻すのはアタシの義務！<br>さっさと帰りな、さいッ！
st_056210,0,st_056210_0410,マルガレータ様！
st_056210,0,st_056210_0420,来るな、クエント王！<br>これはどうしようもないやつよ！<br>起きたことは、もうしょうがないの！
st_056210,0,st_056210_0430,アタシはいったん諦める！<br>んでアタシを、守護輝士が救い出す！<br>それってとってもヒロイックじゃない？
st_056210,0,st_056210_0440,この期に及んでまだそんなことをっ！
st_056210,0,st_056210_0450,うっさい妖精！　ほんとのところは<br>怖いんだから、軽口の一つぐらい<br>叩かせなさいよね！
st_056210,0,st_056210_0460,ムダに抵抗して苦しいのもヤダから<br>すっと諦めて、あとは任せるから……<br>絶対に助けてよ、アタシを！
st_056210,0,st_056210_0470,……任せておけ！
st_056210,0,st_056210_0480,なるべく痛くないようにする！
st_056210,0,st_056210_0490,ふぅ……悪くない気分ねぇ。<br>イイ身体まで、成長出来たし<br>今回の依代は質がいいみたい。
st_056210,0,st_056210_0500,反応、確認……<br>間違いありません。<br>あれはダークファルス【若人】です！
st_056210,0,st_056210_0510,あらぁ？<br>ちょうど良さそうなオモチャが<br>そろってくれてるじゃなぁい？
st_056210,0,st_056210_0520,これだけの素体は久々なの……<br>ウォーミングアップを手伝って<br>もらえるかしらぁ？
st_056210,0,st_056210_0530,反応は【若人】ですが……<br>そのパラメータの規模が違います！
st_056210,0,st_056210_0540,ダークファルス【若人】だけじゃなく<br>マルさんの力、そっくりそのまま<br>使えたりしたら、ここで勝ち目は……
st_056210,0,st_056210_0550,それでも、退くわけにはいかない
st_056210,0,st_056210_0560,助けると約束した
st_056210,0,st_056210_0570,……はい、その通りです。<br>マルガレータ様を助けないと……！
st_056210,0,st_056210_0580,い……！
st_056210,0,st_056210_0590,イヤアアアアア！？<br>何コレ何コレえええええええ！
st_056210,0,st_056210_0600,ケバいケバすぎ！　ケバ王ケバキング！<br>嘘嘘これアタシの将来の姿なの嘘ーっ！
st_056210,0,st_056210_0610,……は、ハアアアアァ？！<br>究極の美貌に向かって、乳臭いガキが<br>何を言っているのかしらあ？！
st_056210,0,st_056210_0620,ああ、喋るな喋るなあ！<br>その喋り方だけアタシの系譜で<br>自分が嫌いになってきちゃうでしょ！
st_056210,0,st_056210_0630,ちっ、依代ごときが出しゃばるな！<br>わきまえなさい！
st_056210,0,st_056210_0640,王がわきまえるわけないでしょ！<br>アンタ本当にアタシなの！？<br>頭が足りてなさすぎない！？
st_056210,0,st_056210_0650,アンタはそのまま喋らず無言のまま<br>守護輝士にぼっこぼこにされて<br>倒されてしまいなさい！
st_056210,0,st_056210_0660,世のため人のため国のため神のため<br>何よりこのアタシのために！
st_056210,0,st_056210_0670,乗っ取られてるはずなのに<br>この喧しさ……どうなっていても<br>マルさんはマルさんなんですね。
st_056210,0,st_056210_0680,あったりまえでしょ！<br>アタシを誰だと思ってるのよ！<br>神王マルガレータよ！
st_056210,0,st_056210_0690,神の力を行使するのも<br>この国を好き勝手するのも<br>アタシにだけ許された行為なの！
