section,group,id,text
st_047100,0,st_047100_0400,その対処法を教えたり、天の見方を教えたり<br>……ああ、懐かしいな。
st_047100,0,st_047100_0410,あの頃の地球はとても鮮烈で<br>人々と共に、進化を繰り返していた。
st_047100,0,st_047100_0420,だが、今はどうだい？<br>この停滞した世界を見て、君達は悲しくないのかい？
st_047100,0,st_047100_0430,エーテルという超技術……世界再編への<br>絶好のきっかけを得たというのに、その使い方は<br>あくまで既存技術の延長に過ぎない。
st_047100,0,st_047100_0440,精神性の変化も起こらず、肉体も変わらず……<br>いや、むしろ退化しているようにすら、思える。
st_047100,0,st_047100_0450,とても、由々しき事態だ。<br>由々しき時代だ。<br>……君もそう思うだろう、エンガ。
st_047100,0,st_047100_0460,……悪いが、さっぱりわかんねえよ。<br>いや、わかりたくもねえ、と言うべきか。
st_047100,0,st_047100_0470,ヒツギちゃん、さっきのあの人の話って<br>もしかして、アーサー王伝説のこと……？
st_047100,0,st_047100_0480,……コオリもそう思ったってことは<br>あたしの聞き間違いじゃないのよね。
st_047100,0,st_047100_0490,日本の話は、きっと安倍晴明のことで<br>その他のも、歴史や伝承にある諸々の話……？
st_047100,0,st_047100_0500,ああ、安倍晴明。そうですね。<br>そんな名前で呼ばれていたこともありました。<br>博識ですね、ヒツギさん。流石、エンガの妹です。
st_047100,0,st_047100_0510,……アーデム。<br>お前、一体、何者だ。
st_047100,0,st_047100_0520,いろいろな名前で呼ばれてきたけど<br>今の僕は、アーデム＝セークリッド。<br>アースガイドの指導者で……ッ！
st_047100,0,st_047100_0522,はああああああッッッ！！
st_047100,0,st_047100_0524,ちッ！
st_047100,0,st_047100_0526,ちっ
st_047100,0,st_047100_0528,……やれやれ
st_047100,0,st_047100_0530,……久しぶりだね、アイヴズ。
st_047100,0,st_047100_0540,……ええ、お久しぶりです、アーデム。
st_047100,0,st_047100_0550,こうして面と向かって会うのは<br>何百年ぶりでしょうか。
st_047100,0,st_047100_0560,前に会ったの、そんなに前だっけ？
st_047100,0,st_047100_0570,貴方が錬金術にご執心だったころですので。<br>施設丸ごと蹴飛ばして差し上げたのをお忘れで？
st_047100,0,st_047100_0580,ああ、ああ！　そんなこともあったね。<br>懐かしいな、あのころの僕は<br>パラケルスス、だったかな？
st_047100,0,st_047100_0590,名前など、どうでもよいのです。<br>……私も、貴方も。
st_047100,0,st_047100_0600,やれやれ、アイヴズが来ちゃったら<br>皆さんの説得なんて出来るはずもないね。<br>……仕方がない。もう行こう、オフィエル。
st_047100,0,st_047100_0610,畏まりました、アーデム卿。
st_047100,0,st_047100_0620,……ポータル！<br>アーデム……てめえ、どこに！
st_047100,0,st_047100_0630,愚問だよ、エンガ。<br>言っただろう、地球は行き詰まっていると。
st_047100,0,st_047100_0640,地球自身の進化が望めず、人々もまた<br>その道を選べないというのなら……<br>僕が、進化を先導する。
st_047100,0,st_047100_0650,地球を導き、新たなる歴史を刻む……<br>それこそが、アースガイドの目的さ。
st_047100,0,st_047100_0660,待てっ……！
st_047100,0,st_047100_0670,地球を導き、進化を先導する……だと？<br>神でも気取るつもりか……アーデム！
