section,group,id,text
msn_011064_003,0,name_7009,オランジェ
msn_011064_003,0,msn_011064_003_0010,テイムズから、肉がとれたみたいですね。
msn_011064_003,0,msn_011064_003_0020,そうしたら、今度はそれを持って、<br>このセントラルタワーのなかにある“フードスタンド”へ。
msn_011064_003,0,msn_011064_003_0030,フードスタンドでは、食材を渡すと、<br>その場ですぐに“クイックフード”に加工してくれるの。
msn_011064_003,0,msn_011064_003_0040,味は……フフフ、食べてみてのおたのしみ。
msn_011064_003,1,name_7009,naranja
msn_011064_003,1,msn_011064_003_0010,Parece que lograste conseguir algo de carne TAMES.
msn_011064_003,1,msn_011064_003_0020,"Muy bien hecho. Ahora, ¿por qué no lo llevas al puesto de comida ubicado aquí en la Torre Central?"
msn_011064_003,1,msn_011064_003_0030,Todo lo que tienes que hacer es entregar tus ingredientes a un puesto de comida y ellos te prepararán algo de comida rápida en el momento.
msn_011064_003,1,msn_011064_003_0040,"El sabor es... Jejeje, dejaré que lo descubras por ti mismo."
