section,group,id,text
Select01,0,text00,バトルアリーナ管理官、ラベルナだ。<br>質問は手短に頼む。
Select01,0,text01,『エンブレム争奪戦のルール』について
Select01,0,text02,『エンブレム』について
Select01,0,text07,『ユニオン』について
Select01,0,text03,『武器の入手』について
Select01,0,text12,『ランクマッチで使用できる武器』について
Select01,0,text05,『武器の詳細』について
Select01,0,text04,『バトルエリア』について
Select01,0,text06,『共通シップ』について
Select01,0,text09,『スキル』について
Select01,0,text10,『スキルの詳細』について
Select01,0,text99,この場を離れる
Select01,1,text00,"Oficial de Battle Arena Laverna, a su servicio.<br>Mantenga sus consultas concisas, por favor."
Select01,1,text01,Las reglas de la lucha de emblemas
Select01,1,text02,Emblemas
Select01,1,text07,Sindicatos
Select01,1,text03,Obtención de armas
Select01,1,text12,Armas utilizables en partidas igualadas
Select01,1,text05,Detalles del arma
Select01,1,text04,Áreas de batalla
Select01,1,text06,Barcos universales
Select01,1,text09,Habilidades
Select01,1,text10,Detalles de la habilidad
Select01,1,text99,Dejar
Select02,0,weapon_text1,『武器の詳細』について
Select02,0,weapon_text2,『ソード』について
Select02,0,weapon_text3,『ライフル』について
Select02,0,weapon_text4,『ロッド』について
Select02,0,weapon_text5,『ジェットブーツ』について
Select02,0,weapon_text6,『バレットボウ』について
Select02,0,weapon_text7,『パルチザン』について
Select02,0,weapon_text8,『ツインマシンガン』について
Select02,0,weapon_text9,『タリス』について
Select02,0,weapon_text10,『デュアルブレード』について
Select02,0,weapon_text11,『ツインダガー』について
Select02,0,weapon_text12,『ナックル』について
Select02,0,weapon_text99,戻る
Select02,1,weapon_text1,Detalles del arma
Select02,1,weapon_text2,Espada
Select02,1,weapon_text3,Rifle
Select02,1,weapon_text4,Vara
Select02,1,weapon_text5,Botas Jet
Select02,1,weapon_text6,Arco
Select02,1,weapon_text7,Partidista
Select02,1,weapon_text8,Ametralladoras gemelas
Select02,1,weapon_text9,Talis
Select02,1,weapon_text10,Cuchillas altísimas
Select02,1,weapon_text11,Dagas gemelas
Select02,1,weapon_text12,nudillos
Select02,1,weapon_text99,Atrás
weapon_tut,0,text1,『武器の詳細』について
weapon_tut,0,text2,『ソード』について
weapon_tut,0,text3,『ライフル』について
weapon_tut,0,text4,『ロッド』について
weapon_tut,0,text5,『ジェットブーツ』について
weapon_tut,0,text6,『バレットボウ』について
weapon_tut,0,text7,『パルチザン』について
weapon_tut,0,text8,『ツインマシンガン』について
weapon_tut,0,text9,『タリス』について
weapon_tut,0,text10,『デュアルブレード』について
weapon_tut,0,text11,『ツインダガー』について
weapon_tut,0,text12,『ナックル』について
weapon_tut,0,text99,戻る
weapon_tut,1,text1,Detalles del arma
weapon_tut,1,text2,Espada
weapon_tut,1,text3,Rifle
weapon_tut,1,text4,Vara
weapon_tut,1,text5,Botas Jet
weapon_tut,1,text6,Arco
weapon_tut,1,text7,Partidista
weapon_tut,1,text8,Ametralladoras gemelas
weapon_tut,1,text9,Talis
weapon_tut,1,text10,Cuchillas altísimas
weapon_tut,1,text11,Dagas gemelas
weapon_tut,1,text12,nudillos
weapon_tut,1,text99,Atrás
Skit01,0,text00,基本的なルールの確認だな。<br>まずはこれを見てくれ。
Skit01,0,text01,大まかなルールは以上だ。<br>後は実戦を繰り返して<br>身体に叩き込むといい。
Skit01,1,text00,"Muy bien, repasemos lo básico.<br>Echa un vistazo a esto."
