section,group,id,text
5001,0,IncidentJsApcBegin,/ci2 2 よう、苦戦してるみたいだな！<br>ちょっくら手伝いに来てみたぜ！
5001,0,IncidentJsApcSuccess,/ci2 1 よっし、終了っと！<br>余計なお世話だったかもしれんが<br>ま、終わりよければなんとやら、だ。
5001,0,IncidentJsApcFailure,っとと、ここまでやりこまれちまうと<br>ちょっと厳しいな……<br>すまんが俺は帰還させてもらうぜ。
5001,0,IncidentJsApcBeginEvo,APC共闘発展開始(仮）
5001,0,IncidentJsApcSuccessEvo,/ci2 1 よっし、終了っと！<br>余計なお世話だったかもしれんが<br>ま、終わりよければなんとやら、だ。
5001,1,IncidentJsApcBegin,"/ci2 2 Oye, parece que te vendría bien un poco de ayuda.<br>Pensé en venir a echarte una mano."
5001,1,IncidentJsApcSuccess,"/ci2 1 ¡Muy bien! ¡Hemos terminado! Probablemente no lo hiciste<br>Necesito mi ayuda, pero bien está lo que bien acaba, ¿verdad?"
5001,1,IncidentJsApcFailure,"Uh-oh, las cosas no pintan muy bien. Lo siento, he<br>Tengo que regresar."
5001,1,IncidentJsApcBeginEvo,Comienza el desarrollo de la batalla conjunta de APC (provisional)
5001,1,IncidentJsApcSuccessEvo,"/ci2 1 ¡Muy bien! ¡Hemos terminado! Probablemente no lo hiciste<br>Necesito mi ayuda, pero bien está lo que bien acaba, ¿verdad?"
5002,0,IncidentJsApcBegin,/ci2 1 あっ、いいところに！<br>ちょっと数が多くて大変だから<br>手伝って貰えないかな？
5002,0,IncidentJsApcSuccess,/ci2 3 ふう、なんとかなったぁ……<br>素直にありがとね、助かったよ。<br>それじゃ、またね！
5002,0,IncidentJsApcFailure,うう……これ以上はムリ……<br>ごめんなさい、あたしは先に<br>撤退させてもらうわね……
5002,0,IncidentJsApcBeginEvo,/ci3 1 うわっ……なんか、やばそーな<br>反応がすっごい近くに……<br>気をつけましょう！
5002,0,IncidentJsApcSuccessEvo,/ci2 3 ふう、なんとかなったぁ……<br>素直にありがとね、助かったよ。<br>それじゃ、またね！
5002,1,IncidentJsApcBegin,/ci2 1 ¡El momento perfecto! Estoy hasta el cuello ahora mismo.<br>¿Puedes ayudarme?
5002,1,IncidentJsApcSuccess,"/ci2 3 Uf, lo logramos de alguna manera.<br>Eres un salvavidas. ¡Ya nos veremos!"
5002,1,IncidentJsApcFailure,"Uf, esto es demasiado para mí... Lo siento, estoy tirando<br>atrás."
5002,1,IncidentJsApcBeginEvo,"/ci3 1 Vaya, tengo la extraña sensación de que algo REALMENTE malo es<br>REALMENTE cerca. ¡Mantén los ojos bien abiertos!"
5002,1,IncidentJsApcSuccessEvo,"/ci2 3 Uf, lo logramos de alguna manera.<br>Eres un salvavidas. Bueno, ¡nos vemos por ahí!"
5003,0,IncidentJsApcBegin,/toge /ci2 2 ああっ、相棒！　いいとこに！<br>ヤバイ数のエネミーがいるんだよ<br>ちょっと協力してくれ！
5003,0,IncidentJsApcSuccess,/ci2 1 ふぃー、なんとか終わったかぁ。<br>ありがとな相棒。お前のおかげで<br>なんとかなったよ。
5003,0,IncidentJsApcFailure,こ、これ以上はきつい……<br>すまん相棒、おれ撤退させてもらうわ。
5003,0,IncidentJsApcBeginEvo,/toge /ci3 2 ななっ、なんだよ！<br>すっげー巨大な敵性反応！？<br>相棒、気をつけろよ！
5003,0,IncidentJsApcSuccessEvo,/ci2 1 ふぃー、なんとか終わったかぁ。<br>ありがとな相棒。お前のおかげで<br>なんとかなったよ。
5003,1,IncidentJsApcBegin,"/toge /ci2 2 ¡Oh, amigo! ¡Buen momento! Hay toda una horda de<br>enemies here! Help me out real quick!"
5003,1,IncidentJsApcSuccess,"/ci2 1 Vaya, realmente lo logramos. ¡Gracias compañero!<br>No podría haberlo hecho sin ti."
5003,1,IncidentJsApcFailure,"No puedo continuar... Lo siento, amigo, tengo que correr."
5003,1,IncidentJsApcBeginEvo,"/toge /ci3 2 ¿Q-qué-qué? Acabamos de atrapar a un enemigo masivo.<br>en el escáner! ¡Cuidado, amigo!"
5003,1,IncidentJsApcSuccessEvo,"/ci2 1 Vaya, realmente lo logramos. ¡Gracias compañero!<br>No podría haberlo hecho sin ti."
5008,0,IncidentJsApcBegin,/mn6 /ci2 2 す、すみません。<br>ここ、敵さんがいっぱいなんです。<br>手伝ってもらえませんか！
5008,0,IncidentJsApcSuccess,/mn15 /ci2 1 やったぁ！　やりましたねっ！<br>ありがとうございました！<br>本当に助かりましたっ！
5008,0,IncidentJsApcFailure,/mn7 すみません……継戦不可です。<br>撤退させてもらいます。<br>ごめんなさい……
5008,0,IncidentJsApcBeginEvo,/mn2 /ci2 2 うわわっ、すっごい反応です！<br>これはおっきな敵さんが<br>出てきそうですよ！
5008,0,IncidentJsApcSuccessEvo,/mn15 /ci2 1 やったぁ！　やりましたねっ！<br>ありがとうございました！<br>本当に助かりましたっ！
5008,1,IncidentJsApcBegin,"/mn6 /ci2 2 Oye, aquí me están invadiendo hostiles. pude<br>really use some help!"
5008,1,IncidentJsApcSuccess,/mn15 /ci2 1 ¡Sí! ¡Lo logramos! no se como<br>para agradecerte! ¡Qué gran ayuda!
5008,1,IncidentJsApcFailure,"/mn7 Lo siento, no puedo continuar... Necesito retroceder.<br>Lo siento muchísimo..."
5008,1,IncidentJsApcBeginEvo,"/mn2 /ci2 2 ¡Vaya, el escáner se está volviendo loco! parece<br>¡Tenemos un enemigo enorme en nuestras manos!"
5008,1,IncidentJsApcSuccessEvo,/mn15 /ci2 1 ¡Sí! ¡Lo logramos! no se como<br>para agradecerte! ¡Qué gran ayuda!
5009,0,IncidentJsApcBegin,/ci4 5 ああ、キミか。<br>よければ手伝ってくれないかな？<br>何分数が多くて面倒でね。
5009,0,IncidentJsApcSuccess,/ci2 1 よし、これで終わりだな。<br>いいデータも取れた、感謝するよ。
5009,0,IncidentJsApcFailure,すまないが、撤退させてもらうよ。<br>こんなところで無理をしても<br>何の得にもならないだろうからね。
5009,0,IncidentJsApcBeginEvo,/ci4 5 ふむ……この反応は、新手か。<br>まあ、気をつけていこうじゃないか。
5009,0,IncidentJsApcSuccessEvo,/ci2 1 よし、これで終わりだな。<br>いいデータも取れた、感謝するよ。
5009,1,IncidentJsApcBegin,"/ci4 5 Oh, eres tú. ¿Puedes ayudarme un poco aquí?<br>Hay muchísimos de ellos."
5009,1,IncidentJsApcSuccess,"/ci2 1 Esos son todos, creo. Gracias. tengo mucho<br>de buenos datos de eso."
5009,1,IncidentJsApcFailure,"Lo siento, pero tengo que retirarme. No tiene sentido presionar<br>más a fondo en este momento."
5009,1,IncidentJsApcBeginEvo,/ci4 5 Hm... Estas lecturas son nuevas. creo que deberíamos<br>proceda con cuidado.
5009,1,IncidentJsApcSuccessEvo,"/ci2 1 Esos son todos, creo. Gracias. tengo mucho<br>de buenos datos de eso."
5010,0,IncidentJsApcBegin,/ci2 1 あっああ！<br>いいところに来てくださいました！<br>助けて、助けてくださいーっ！
5010,0,IncidentJsApcSuccess,/ci2 1 ふぅー……な、なんとか無事で<br>終わってくれたようで、よかったです。<br>ありがとうございます。助かりました。
5010,0,IncidentJsApcFailure,うう……先生を探していただけなのに<br>どうしてこんなことに……<br>撤退させてもらいます……
5010,0,IncidentJsApcBeginEvo,/ci4 1 こ、この反応って……新手！？<br>うう、早く逃げたい……<br>逃げちゃいましょうよ……
5010,0,IncidentJsApcSuccessEvo,/ci2 1 ふぅー……な、なんとか無事で<br>終わってくれたようで、よかったです。<br>ありがとうございます。助かりました。
5010,1,IncidentJsApcBegin,/ci2 1 ¡Ah! ¡Llegas justo a tiempo! ¡Ayuda! ¡Por favor!
