section,group,id,text
ra_010540,0,ra_010540_0010,〔<%me>〕<br>〔よく来た〕〔再会を〕<br>〔テリオトーに〕〔感謝する〕
ra_010540,0,ra_010540_0020,〔あの研究者は〕〔別行動か〕<br>〔いささか〕〔残念だ〕
ra_010540,0,ra_010540_0030,〔我らから〕〔不満が出ている〕<br>〔曰く〕〔甚だ無礼であると〕
ra_010540,0,ra_010540_0040,〔ヒは〕〔まだいい〕<br>〔だが〕〔コは憤慨している〕<br>〔食らってしまえ〕〔とも聞いた〕
ra_010540,0,ra_010540_0050,〔そなたたちに〕〔悪意はないだろう〕<br>〔我らとて〕〔愚かではない〕<br>〔状況は〕〔理解している〕
ra_010540,0,ra_010540_0060,〔だが〕〔理解を〕<br>〔誇りが〕〔縛りつける〕<br>〔コは〕〔特にそうだ〕
ra_010540,0,ra_010540_0070,〔ヒは〕〔認めた〕<br>〔だからこそ〕〔コは認めぬ〕
ra_010540,0,ra_010540_0080,〔アークスは〕〔災厄を招く〕<br>〔そう判断し〕〔認めようとしない〕
ra_010540,0,ra_010540_0090,〔それは〕〔無為で〕〔無益である〕<br>〔だが〕〔変えられぬ〕<br>〔流れでもある〕
ra_010540,0,ra_010540_0100,〔我らを〕〔縛る〕<br>〔しがらみであり〕〔鎖だ〕
ra_010540,0,ra_010540_0110,〔それでも〕〔我は期待する〕<br>〔そなたが〕〔我らに〕<br>〔変化をもたらすと〕
ra_010540,0,ra_010540_0120,A.P.238/3/22
