section,group,id,text
CharaName,0,name01,ヒツギ
CharaName,0,name02,コオリ
CharaName,1,name01,Hitsu
CharaName,1,name02,Kori
Skit00,0,skit01,まだ奥があるみたいね。<br>どこまで降りるんだろう。
Skit00,0,skit02,うう……なんだかぞわっとする。<br>寒気というか……悪寒？
Skit00,1,skit01,Parece que va más allá.<br>¿Hasta dónde llega?
Skit00,1,skit02,Brrr... Habla de un frente frío repentino.
Skit_ci00,0,skit01,/ci1 1 まだ奥があるみたいね。<br>どこまで降りるんだろう。
Skit_ci00,0,skit02,/ci4 1 うう……なんだかぞわっとする。<br>寒気というか……悪寒？
Skit_ci00,1,skit01,/ci1 1 Parece que es más profundo.<br>¿Hasta dónde llega?
Skit_ci00,1,skit02,/ci4 1 Brrr... Habla de un frente frío repentino.
