section,group,id,text
CharaName,0,name01,？？？
CharaName,0,name02,？？？
CharaName,1,name01,¿?
CharaName,1,name02,¿?
ra_020050,0,ra_020050_0001,A.P.238/6/29
ra_020050,0,ra_020050_0010,……ひとつ、昔話を聞いて欲しい。<br>おろかな『もの』と<br>おろかな『ひと』の話だ。
ra_020050,0,ra_020050_0020,全てを識っている存在だった『もの』と<br>全てに興味を持つ存在だった『ひと』が<br>出会ってしまったことが、始まりだ。
ra_020050,0,ra_020050_0030,『もの』は、『ひと』の望むがままに<br>知恵と知識を与えた。
ra_020050,0,ra_020050_0040,それは『もの』にとっては<br>些末な知識であったが<br>『ひと』はそれを礎に進化を遂げた。
ra_020050,0,ra_020050_0050,『ひと』は『もの』の<br>好奇心を刺激した。
ra_020050,0,ra_020050_0055,全てを識ってなお、理解できない<br>『ひと』の心に、『もの』は惹かれた。
ra_020050,0,ra_020050_0060,そうして、『もの』と『ひと』は<br>隣人となった。
ra_020050,0,ra_020050_0065,相互に望む物を与え続ける存在として<br>長い永い繁栄を続けていた。
ra_020050,0,ra_020050_0080,『ひと』は貪欲でありながら怠惰だ。<br>楽をするために、全ての力を注ぐ。<br>ありとあらゆる知恵を絞りつくす。
ra_020050,0,ra_020050_0090,その思考の動きはユニークであり<br>観るには楽しくもある、が……<br>甘く観すぎた。
ra_020050,0,ra_020050_0110,その怠惰が作りあげた物が<br>やがて崩壊をまねくと識りながら<br>『もの』は、『ひと』に伝えなかった。
ra_020050,0,ra_020050_0120,その結果が、『ひと』をどう変えるか。<br>それを観たいと思ったがために……
ra_020050,0,ra_020050_0130,おろかなのは『ひと』ではない。<br>識りながらそれを伝えなかった<br>わたしこそが、おろかなのだ。
ra_020050,0,ra_020050_0140,……心配はいらない。<br>出会ったことは、嬉しいこと。<br>それは、かけがえのないことだ。
ra_020050,0,ra_020050_0150,でなければ、わたしは今こうして<br>貴方たちと話すこともできなかった。<br>今のこの場は存在し得なかった。
ra_020050,0,ra_020050_0160,かつての人たちはこう言っていた。<br>「未来はわからないから楽しい」と。<br>わたしも今ならばそう思う。
ra_020050,0,text01,<br>マターボード『未来を迎えるため』を入手しました。<br>
