section,group,id,text
ssc_504050,0,ssc_504050_0010,ん？
ssc_504050,0,ssc_504050_0020,やあ、キミか。<br>いいところに来たね。
ssc_504050,0,ssc_504050_0030,ちょっと話を聞いてもらえるかい？
ssc_504050,0,ssc_504050_0040,ちょうど今、ファリア君から<br>スターレスのことを聞いていたんだ。
ssc_504050,0,ssc_504050_0050,あくまでも、<br>私が知る範囲の情報ですが。
ssc_504050,0,ssc_504050_0060,今の僕たちにとっては、<br>少しでも情報を得られたのは大きいよ。
ssc_504050,0,ssc_504050_0070,ガーディアンであるキミにも、<br>それを共有しておこうと思ってね。
ssc_504050,0,ssc_504050_0080,ちなみに、キミのほうで、<br>スターレスについて聞きたいことはあるかい？
ssc_504050,0,ssc_504050_0090,いつ頃から現れるようになった？
ssc_504050,0,ssc_504050_0100,どこから来た？
ssc_504050,0,ssc_504050_0110,スターレスは、500年ほど前に、<br>初めてその姿を現しました。
ssc_504050,0,ssc_504050_0120,人類の生存圏の外から突然現れ、<br>一方的に攻撃を仕掛けてきたのです。
ssc_504050,0,ssc_504050_0130,スターレスは、人類の生存圏の外から、<br>突然やって来ました。
ssc_504050,0,ssc_504050_0140,そして、一方的に人類に攻撃を仕掛けた。<br>それが今から500年前の出来事だそうだ。
ssc_504050,0,ssc_504050_0150,残念ながら、当時の人類では歯が立たず、<br>結果的に生存圏の外縁部……。
ssc_504050,0,ssc_504050_0160,つまり、辺境の星系から<br>多くの命が失われてしまった。
ssc_504050,0,ssc_504050_0170,辺境だけを襲った？
ssc_504050,0,ssc_504050_0180,辺境以外では撃退できた？
ssc_504050,0,ssc_504050_0190,結果的には、そうなります。
ssc_504050,0,ssc_504050_0200,結果的にはね。
ssc_504050,0,ssc_504050_0210,辺境以外は、ほとんど襲撃を受けなかったんだ。<br>撃退……とは少し違うね。
ssc_504050,0,ssc_504050_0220,スターレスは辺境の星系を壊滅させた後、<br>その周囲へと攻撃を広げていくのですが……。
ssc_504050,0,ssc_504050_0230,しばらくして、<br>突然その姿を消してしまいました。
ssc_504050,0,ssc_504050_0240,どこかに潜伏した？
ssc_504050,0,ssc_504050_0250,撤退した？
ssc_504050,0,ssc_504050_0260,そうだね。
ssc_504050,0,ssc_504050_0270,当時の人々も同じことを考えたらしい。<br>大規模な捜索が行われたそうだ。
ssc_504050,0,ssc_504050_0280,ところが、どれだけ探しても、<br>その痕跡ひとつ発見できなかった……。
ssc_504050,0,ssc_504050_0290,はい。潜伏はおろか、<br>逃走の痕跡すらありませんでした。
ssc_504050,0,ssc_504050_0300,スターレス側に、<br>なにかが起きて撤退したのではないか。
ssc_504050,0,ssc_504050_0310,当時も、そう言われたそうだけど……。
ssc_504050,0,ssc_504050_0320,その後の調査で、<br>撤退した形跡は見当たりませんでした。
ssc_504050,0,ssc_504050_0330,また、どこかに潜伏している痕跡も<br>見られなかったそうです。
ssc_504050,0,ssc_504050_0340,なんにせよ……スターレスは、<br>突然その姿を消してしまったわけだ。
ssc_504050,0,ssc_504050_0350,とはいえ、一方的に蹂躙され、<br>多くの命が失われたことに変わりはない。
ssc_504050,0,ssc_504050_0360,それに危機感を覚えて、<br>行動をおこす人々がいた。
ssc_504050,0,ssc_504050_0370,これが、“リサージェントアークス”の始まりだ。
ssc_504050,0,ssc_504050_0380,……と、少し長くなりそうだね。<br>ここで一度区切りをつけようか。
ssc_504050,0,ssc_504050_0390,キミがよければ、<br>話の続きをし
ssc_504050,1,ssc_504050_0010,¿Mmm?
ssc_504050,1,ssc_504050_0020,"Hola, hola. Llegaste en el momento justo."
ssc_504050,1,ssc_504050_0030,¿Tienes un minuto para hablar?
ssc_504050,1,ssc_504050_0040,Aquí Pharia me estaba contando más sobre Starless.
ssc_504050,1,ssc_504050_0050,"Hasta ahora, ha sido información familiar."
ssc_504050,1,ssc_504050_0060,Pero cualquier fragmento de información en este momento ayuda mucho.
ssc_504050,1,ssc_504050_0070,"Pensé que podría ser una buena idea compartirlo contigo, nuestro Guardián."
ssc_504050,1,ssc_504050_0080,¿Hay algo en particular que te gustaría saber sobre Starless?
