section,group,id,text
msn_016001,0,msn_016001_0001,ごめんねぇ。<br>今、忙しいんだぁ……。
msn_016001,0,msn_016001_0002,もうちょっと落ち着いたら、<br>また来てね。
msn_016001,0,msn_016001_0101,あっ、キミぃ！<br>来てくれたんだね。
msn_016001,0,msn_016001_0102,じゃあさっそく、<br>話の続きをするね。
msn_016001,0,msn_016001_0103,リューカーデバイスから行ける<br>誰も知らない場所……。
msn_016001,0,msn_016001_0104,そこは、<br>なにもない大きな“島”なんだけど……。
msn_016001,0,msn_016001_0105,なんと！　いろんなモノを<br>自由自在に“置ける”場所だったんだよぉ！
msn_016001,0,msn_016001_0106,どうやら、物質をデータ化して保存する<br>巨大なストレージがバックヤードにあって……。
msn_016001,0,msn_016001_0107,原理は、アイテムパックとかと同じで……。
msn_016001,0,msn_016001_0108,……って、詳しい話はいっか！
msn_016001,0,msn_016001_0109,口で言うよりも、<br>実際に自分の目で見たほうが早いよね。
msn_016001,0,msn_016001_0110,とにかく、キミも一度その場所……、<br>“クリエイティブスペース”に行ってみてよ！
msn_016001,0,msn_016001_0111,それで、アタシの調査と研究を、<br>手伝ってもらいたいんだぁ。
msn_016001,0,msn_016001_0112,時間のあるときで、いいからさぁ。<br>それじゃ、よろしくねー。
msn_016001,0,msn_016001_0201,“クリエイティブスペース”に行ってみてよ！
msn_016001,0,msn_016001_0202,向こうについたら、<br>アタシから連絡するね。
msn_016001,0,msn_016001_0301,クリエイティブスペースの調査と研究、<br>よろしく
msn_016001,1,msn_016001_0001,"Lo siento, pero estoy muy ocupado en este momento..."
msn_016001,1,msn_016001_0002,Ven a verme de nuevo una vez que las cosas se hayan calmado un poco.
msn_016001,1,msn_016001_0101,¡Ahí estás!<br>Gracias por venir a verme.
msn_016001,1,msn_016001_0102,"Ahora, retomemos donde lo dejamos."
msn_016001,1,msn_016001_0103,Para que ese lugar desconocido al que Ryuker Devices pueda llevarte...
msn_016001,1,msn_016001_0104,"Bueno, en realidad es una gran ""isla"" sin nada."
msn_016001,1,msn_016001_0105,"¡Pero escucha esto! ¡En realidad es un espacio donde puedes ""colocar"" todo tipo de cosas donde quieras!"
msn_016001,1,msn_016001_0106,Resulta que teníamos un espacio de almacenamiento enorme donde el material se puede guardar como datos directamente en nuestro patio trasero...
msn_016001,1,msn_016001_0107,Opera según los mismos principios que el Inventario...
msn_016001,1,msn_016001_0108,"Pero bueno, ¡te ahorraré la larga explicación!"
msn_016001,1,msn_016001_0109,Probablemente sea más fácil de entender si lo ves por ti mismo.
msn_016001,1,msn_016001_0110,"De todos modos, anímate y visita este...<br>¡Espacio Creativo!"
msn_016001,1,msn_016001_0111,Esperaba que pudieras ayudarme con mi investigación y mi investigación también.
msn_016001,1,msn_016001_0112,"Siempre que tengas tiempo está bien.<br>¡Está bien, cuídate!"
msn_016001,1,msn_016001_0201,¡Intenta ir al Espacio Creativo!
msn_016001,1,msn_016001_0202,Me pondré en contacto contigo una vez que llegues.
msn_016001,1,msn_016001_0301,¡Gracias por ayudarme a investigar e investigar sobre Creative Space!
