section,group,id,text
msq_012274,1,msq_012274_0010,Is that a Nogleth!?
msq_012274,1,msq_012274_0020,¡Ese es un Sand Nogleth! ¡Permíteme ayudarte!
msq_012274,1,msq_012274_0030,¡Mohsen! ¡Una grata sorpresa!
msq_012274,1,msq_012274_0040,La base aquí es mala. Ten mucho cuidado.
msq_012274,1,name010,Aina
msq_012274,1,name020,Mohsen
msq_012274,1,name030,Nadereh
msq_012274,0,msq_012274_0010,あれは……、ナグルス!?
msq_012274,0,msq_012274_0020,そいつは“サンドナグルス”だ！<br>わしも手伝おう！
msq_012274,0,msq_012274_0030,モフセン、助かる！
msq_012274,0,msq_012274_0040,ここは足場も悪い。<br>おぬしたち、気をつけて戦うのだぞ。
msq_012274,0,name010,アイナ
msq_012274,0,name020,モフセン
msq_012274,0,name030,ナーデレフ
