section,group,id,text
MainText,0,name010,ペッピーラッピー
MainText,0,text010,やあ！　私は、ラッピーをこよなく愛する男。<br>“ラッピー大好きお兄さん”ことペッピーラッピーだ。
MainText,0,text020,今は、ここで“ラッピーの集会場”を<br>疑似的に再現する実験をしているんだけど……。
MainText,0,text030,どうやら、装置の光に反応して、<br>エネミーも集まってきてしまったらしい。
MainText,0,text040,ここまで苦労したんだよ……。<br>なんとか、実験を成功させたい！
MainText,0,text050,そのために、エネミーの討伐をお願いできないだろうか。<br>よろしく頼むよ！
MainText,1,name010,lleno de vida rappy
MainText,1,text010,>name's Peppy Rappy, but you can call me "The Rappy-Loving Guy".
MainText,1,text020,Estoy tratando de ver si puedo recrear artificialmente un Rappy Spot aquí...
MainText,1,text030,Pero la luz del dispositivo parece atraer enemigos también...
MainText,1,text040,"¡Estoy tan, tan cerca! Por favor, ¿podrías ayudarme?"
MainText,1,text050,Necesito que te deshagas de todos estos enemigos.<br>¡Muchas gracias!
