section,group,id,text
,0,un_064160_0010,そういえば、マルさん。<br>ここって、元々はクエント城ですよね？<br>エピックの王宮はどうしたんですか？
,0,un_064160_0020,え？　アタシが住んでるわよ。<br>アタシのために作らせた王宮だもん<br>当たり前じゃない。
,0,un_064160_0030,そうですか……<br>じゃあ、こっちのクエント城には<br>遊びに来てるだけなんですね。
,0,un_064160_0040,ううん、こっちもアタシの城。
,0,un_064160_0050,……は？
,0,un_064160_0060,なんたって、アタシは<br>神聖エピクエント魔道国の<br>神王サマだからね！
,0,un_064160_0070,城や王宮のふたつぐらい<br>持っててしかるべきよ！
,0,un_064160_0080,マルさん、クエントを併合して<br>傲慢さに磨きがかかりましたね。<br>流石です。
,0,un_064160_0090,うるっさいわね！<br>いいじゃない、アタシの国なんだから<br>城だってなんだってアタシのものよ！
,0,un_064160_0100,だいたい、移動はどうしてるんです？<br>かなり距離あるじゃないですか。
,0,un_064160_0110,そんなもの……<br>剣の巫女の力で、一瞬よ！
,0,un_064160_0120,伝承の力を、そんな軽々しく……！？
,0,un_064160_0130,紅き邪竜の伝承だかなんだか<br>知らないけど、使わなけりゃ<br>宝の持ち腐れじゃない。
,0,un_064160_0140,……というか、アリサさんも<br>よく許してくれましたね。
,0,un_064160_0150,まっ、国がひとつになっても<br>エピックとクエントじゃ<br>文化も環境も、違いすぎるのよ。
,0,un_064160_0160,急にいろんなことを<br>ひとつにまとめちゃったら<br>民だって混乱するでしょ。
,0,un_064160_0170,だから、アタシが行き来して<br>ふたつの国の民たちの話をききながら<br>一番良いやり方を考えてるのよ。
,0,un_064160_0180,剣の巫女も<br>そこは理解して手伝ってくれてるわ。
,0,un_064160_0190,そうだったんですね……
,0,un_064160_0200,ふふーん、不敬なアンタも<br>さすがに感心しちゃったでしょ？<br>ほら敬いなさい、敬いなさーい。
,0,un_064160_0210,マルさんって……<br>まるで本物の国王様みたいですね！
,0,un_064160_0220,よ・う・せ・いーッ！
,1,un_064160_0010,"Speaking of which: look, Maggie.<br>Isn't this place the original Cuento Castle?<br>What happened to the Epyk Palace?"
,1,un_064160_0020,"Huh? The palace is where I live.<br>It was made specially for me, after all."
,1,un_064160_0030,"I see... So that means we're coming to Cuento<br>Castle just to relax, then?"
,1,un_064160_0040,"Well, yes. This is also my castle."
,1,un_064160_0050,...What?
,1,un_064160_0060,Whaddaya mean!? I am the Divine Queen of the<br>Sacred Magical Kingdom of Epykuento!<br>Is it so hard to believe!?
,1,un_064160_0070,"For someone like me, having a castle AND<br>a palace is the bare minimum."
,1,un_064160_0080,"Maggie, since annexing Cuento, you definitely<br>have turned the vanity dial up a notch.<br>...Well, it's your prerogative."
,1,un_064160_0090,"Cut it out, would you!? It's MY kingdom,<br>so it goes without saying that the castle and<br> everything in it is mine!"
,1,un_064160_0100,"So what are you going to do about moving it?<br>It's a pretty long distance, right?"
,1,un_064160_0110,"With the power of the Sword Maiden,<br>we'll have it taken care of lickety-split!"
,1,un_064160_0120,Use that ancient power for something so trivial!?
,1,un_064160_0130,"But if we don't use her<br>power, the castle will be useless anyway."
,1,un_064160_0140,...It's nice that Alis has been so forgiving.
,1,un_064160_0150,"Well, even though the two kingdoms<br>are now one, culturally and environmentally<br>they're completely different."
,1,un_064160_0160,"When you suddenly merge the two,<br>you expect there to be some disruption,<br>even among the common citizenry."
,1,un_064160_0170,眀栀愀琀 攀瘀攀爀礀漀渀攀 栀愀猀 琀漀㰀戀爀㸀猀愀礀⸀ 䤀琀✀猀 琀栀攀 洀漀猀琀 瀀爀甀搀攀渀琀 挀漀甀爀猀攀 漀昀 愀挀琀椀漀渀⸀
,1,un_064160_0180,"The Sword Maiden knows that, and has <br>been kind enough to lend a hand."
,1,un_064160_0190,"Well, you do have a point there..."
,1,un_064160_0200,"Heehee, you aren't starting to actually <br>RESPECT a scoundrel like me, are you? <br>Not that I'm complaining, mind you!"
,1,un_064160_0210,Maggie... You really are starting to act like<br>a real ruler of a real kingdom.
,1,un_064160_0220,And you are starting to act like a real <br>pain in the rear!
