section,group,id,text
Event1,0,name01,シエラ
Event1,0,text01,コネクト、フルコネクトを使うと<br><red>一時的にギア上昇量がアップ<c>します！<br>惜しまずガンガン使いましょう！
Event1,0,text02,豪快な連撃で敵を一掃！<br>これがエトワールデュアルブレードの<br>醍醐味なんです！
Event1,0,text03,最後に、今までのおさらいとして<br>実戦形式の訓練にいきましょう！
Event1,0,text101,課題！
Event1,1,name01,Xiera
Event1,1,text01,䘀漀挀甀猀 䜀愀甀最攀 椀渀挀爀攀愀猀攀猀㰀挀㸀℀ 匀漀 搀漀渀✀琀 栀攀猀椀琀愀琀攀 琀漀 甀猀攀 琀栀攀洀 愀猀 洀甀挀栀 愀猀 礀漀甀 挀愀渀℀
Event1,1,text02,¡Las Étoile Soaring Blades consisten en derrotar enemigos de un solo golpe con una serie de magníficos combos!
Event1,1,text03,La última parte del curso será una prueba de combate<br>que incorporará todo lo que has aprendido.
Event1,1,text101,¡Objetivo completado!
