section,group,id,text
,0,name_7258,アーチェ
,0,ssq_016025_0010,うん、いいよいいよ！
,0,ssq_016025_0020,それじゃ、最後にオマケで、<br>ビルドパーツ操作の便利機能を教えておくね。
,0,ssq_016025_0030,よく使うビルドパーツを、<br>呼び出しやすくする方法だよ。
,0,ssq_016025_0040,試してみて！
,1,name_7258,arco
,1,ssq_016025_0010,¡Eso es perfecto!
,1,ssq_016025_0020,"Como beneficio adicional, le enseñaré algunas funciones convenientes de<br>Build Parts."
,1,ssq_016025_0030,Éste le permite abrir Build Parts que<br>usa con frecuencia.
,1,ssq_016025_0040,¡Pruébalo!
GuideText,0,Guide_1,ビルドメニューを開く：
GuideText,0,Guide_2,<%MainPaletteC>
GuideText,0,Guide_3,ビルドパレットに登録：
GuideText,0,Guide_4,<%NormalAttack>
GuideText,1,Guide_1,Abrir menú de compilación:
GuideText,1,Guide_2,<%MainPaletteC>
GuideText,1,Guide_3,Agregar a la paleta de construcción:
GuideText,1,Guide_4,<%NormalAttack>
