section,group,id,text
CharaName,0,un_020290_0010,これはこれは<br><%me>さん。<br>お元気そうで何よりです。
CharaName,0,un_020290_0020,貴方の力は、今後のアークスに<br>とって必要なものとなるはずです。
CharaName,0,un_020290_0030,張り切るのもいいですが<br>ご自愛もしてくださいね。
CharaName,0,un_020290_0040,しかし、このあたりもダーカーが<br>増えてきているようですね。<br>貴方が出撃しているのが何よりの証拠。
CharaName,0,un_020290_0050,私の目的？　情報収集ですよ。<br>もし、殲滅戦闘をするならば<br>クラリスクレイスが派遣されるはず。
CharaName,0,un_020290_0060,三英雄も役割分担されています。<br>……誤解を恐れず言うのなら<br>彼女は歩く爆弾のようなもの、です。
CharaName,0,un_020290_0070,後先考えずに吹き飛ばせる<br>多数相手がもっとも向いています。
CharaName,0,un_020290_0080,火力が高すぎるうえ、制御が下手なので<br>すぐに息切れしてしまうのが弱点ですが<br>まあ、性質上致し方なしでしょう。
CharaName,0,un_020290_0090,私はまったく逆。コスト重視の<br>高稼働率を保つような戦い方ですから<br>持久戦や撤退戦に向いているんです。
CharaName,0,un_020290_0100,逆に、一気呵成に来られてしまうと<br>私の能力ではどうしようもなくなる<br>という弱点もありますがね。
CharaName,0,un_020290_0110,レギアスは……そうですね。<br>あれは対峙したら終わり、です。
CharaName,0,un_020290_0120,如何に、対峙せずに事を済ますか。<br>それを考えて動くのが正解ですかね。
CharaName,0,un_020290_0130,それでも強いて弱点を挙げるなら……<br>彼は後先考えずに戦うことの出来ない<br>立場に置かれている、という点です。
CharaName,0,un_020290_0140,ははっ。役割分担というより<br>一長一短というべきですかね。
CharaName,0,un_020290_0150,一番強いのはレギアス。<br>一番危険なのはクラリスクレイス。<br>そして一番面倒なのが、私。
CharaName,0,un_020290_0160,だからその通りに<br>情報収集とか面倒なことは<br>私に押しつけられるんですよ。
