section,group,id,text
CharaName,0,name01,？？？
CharaName,0,name02,？？？
CharaName,1,name01,???
CharaName,1,name02,???
CharaName,0,ra_035020_0001,A.P.239/3/7
CharaName,0,ra_035020_0010,……ふう、やれやれ。<br>戻ってくるのに手間取っちゃったね。
CharaName,0,ra_035020_0020,まったく、まったく。<br>【巨躯】もやってくれるよね。<br>まあ、もういないから、いいけど。
CharaName,0,ra_035020_0030,そうだね、もういないやつのことを<br>考えても仕方ないもんね。
CharaName,0,ra_035020_0040,……それにしても、いつもいつも現れる<br>あのアークス。いい加減、邪魔だね。
CharaName,0,ra_035020_0050,……いい加減、うっとうしいよね。<br>そろそろ、喰べちゃいたいね。
CharaName,0,ra_035020_0060,うん。<br>そろそろ、やっちゃおうか。
CharaName,0,text01,<br>マターボード『闇を抱いた歴史』を入手しました。<br>
CharaName,1,ra_035020_0001,AP 239/3/7
CharaName,1,ra_035020_0010,Phew. It was harder getting back<br>here than expected.
CharaName,1,ra_035020_0020,"Too hard, really. [Elder] did a number on us.<br>But they're gone now, so no matter."
CharaName,1,ra_035020_0030,"Yeah, no point wasting time thinking about<br>someone who's not even around anymore."
CharaName,1,ra_035020_0040,But you know who else I wish wasn't<br>around anymore? That pesky ARKS<br>operative who always gets in our way.
CharaName,1,ra_035020_0050,Ugh. So irritating. I think it's time for<br>us to consume that pest.
CharaName,1,ra_035020_0060,Mmmm. Es hora de terminar con esto para siempre.
CharaName,1,text01,"Matriz de divergencia obtenida ""Una historia de oscuridad""."
