section,group,id,text
CharaName,0,name01,？？？
CharaName,0,name02,？？？
CharaName,1,name01,???
CharaName,1,name02,???
CharaName,0,st_020620_0001,A.P.238/7/7/9:20
CharaName,0,st_020620_0010,ふふふっ……あなたに向かって<br>銃を撃つのは、久しぶりですねえ。
CharaName,0,st_020620_0020,まさか、お前とこんな形で<br>敵対することになるとはな……
CharaName,0,st_020620_0030,……貴方のこと、信じてたのに。<br>どうして、アークスを<br>裏切るようなことを……？
CharaName,0,st_020620_0040,……そんな！　そんなことしてない！<br><%me>は<br>裏切ってなんかいない！
CharaName,0,st_020620_0050,オレたちとて、そう信じたいが……<br>殺してしまえば、関係ない。
CharaName,0,st_020620_0060,……全アークスに向けての<br>開示情報で、証拠も示された。<br>だから、殺してしまわないと。
CharaName,0,st_020620_0070,どうして……？<br>おかしい……このひとたち。<br>言葉も、気配も……！
CharaName,0,st_020620_0080,無駄無駄無理無理、ダメですよお。<br>もう、リサたちには何を言っても<br>通じないんです。
CharaName,0,st_020620_0090,わかりますかあ？<br>『絶対令』ですよお。<br>リサたちはもう、逆らえません。
CharaName,0,st_020620_0100,三英雄のみなさんが言うんです<br>揃いも揃って、命令するんです。<br>あなたを殺しなさい、って。
CharaName,0,st_020620_0110,ま、リサは命令なんて<br>別にどうでもいいんですが……<br>ひとを殺すのは面白そうですからねえ。
CharaName,0,st_020620_0120,<%me>さん。<br>安心してください。<br>私は敵じゃありませんよ。
CharaName,0,st_020620_0130,私はあなたを殺して<br>あの子たちを守りたいんです。
CharaName,0,st_020620_0140,そのために、殺させてください。
CharaName,0,st_020620_0005,？？？
Skit,0,line01,ここまでのクエストの進行を記録しました。
Skit,1,line01,El progreso de la mision se ha guardado.
