section,group,id,text
CharaName,0,name01,ゼノ
CharaName,1,name01,Zenón
CharaName,0,skit01,/ci1 2 今の武器は自分に合ってるか？<br>いろんな種類の武器を試して<br>好みを見つけるといいぜ。
CharaName,0,skit02,***
CharaName,1,skit01,/ci1 2 ¿Tu arma actual te conviene?<br>Debes probar varios tipos de armas hasta que<br>encuentres una que te guste.
CharaName,1,skit02,***
CharaName,0,skit01,今の武器は自分に合ってるか？<br>いろんな種類の武器を試して<br>好みを見つけるといいぜ。
CharaName,0,skit02,***
CharaName,0,text00,「武器切り替え」について
CharaName,0,text201,装備を切り替えろ！
CharaName,0,text202,装備を切り替えろ！
CharaName,0,text203,武器パレット選択：<%PaletteReverse>、<%PaletteForce><br>決定：<%NormalAttack>
CharaName,0,text204,武器パレット選択：<%PaletteReverse>、<%PaletteForce><br>決定：<%NormalAttack>、<%PhotonArts>、<%Decide>いずれか
CharaName,1,skit01,¿Te conviene tu arma actual?<br>Debes probar varios tipos de armas hasta que<br>encuentres una que te guste.
CharaName,1,skit02,***
CharaName,1,text00,Cambiando de armas
CharaName,1,text201,¡Cambia tu Equipo!
CharaName,1,text202,¡Cambia tu Equipo!
CharaName,1,text203,"Seleccione la paleta de armas: <%PaletteReverse>,<%PaletteForce><br> Confirme: <%NormalAttack>"
CharaName,1,text204,"Seleccione la paleta de armas: <%PaletteReverse>,<%PaletteForce><br> Confirme: <%Decide>,<%NormalAttack>o <%PhotonArts>."
