section,group,id,text
common,0,WorldTrialName,ステラーグレイス回収作戦
common,0,WorldTrialNameS,ステラーグレイス回収作戦(スティア)
common,0,WorldTrialNameA,ステラーグレイス回収作戦(エアリオ)
common,0,WorldTrialNameR,ステラーグレイス回収作戦(リテム)
common,0,WorldTrialNameK,ステラーグレイス回収作戦(クヴァリス)
common,0,WorldTrialExplain,各地に出現したステラーグレイスを、時間内により多く収集する。<br>収集数に応じて、レアドロップ倍率が上昇する。
common,0,WorldTrialExplainK,クヴァリスに出現したステラーグレイスを、時間内により多く収集する。<br>収集数に応じて、レアドロップ倍率が上昇する。
common,0,WorldTrialExplainR,リテムに出現したステラーグレイスを、時間内により多く収集する。<br>収集数に応じて、レアドロップ倍率が上昇する。
common,0,WorldTrialExplainA,エアリオに出現したステラーグレイスを、時間内により多く収集する。<br>収集数に応じて、レアドロップ倍率が上昇する。
common,0,WorldTrialExplainS,スティアに出現したステラーグレイスを、時間内により多く収集する。<br>収集数に応じて、レアドロップ倍率が上昇する。
common,0,WorldTrialExplain02,ステラーグレイスを、時間内により多く収集する。収集数に応じて、<br>レアドロップ倍率とシーズナルポイント獲得倍率が上昇する。
common,0,WorldTrialAbstract,ステラーグレイス回収作戦
common,0,MessageRemainingTreasure1,セクション内のＳグレイス：残数$(0)個
common,0,MessageRemainingTreasure2,セクション内のＳグレイス：残数$(0)個
common,0,MessageSectionComplate,セクション内の全Ｓグレイス回収完了！
common,0,ToastTreasureAccess,Ｓグレイス発見総数：$(0)/現在のＳグレイスブースト【個人】：$(1)％
common,0,ProgRemainingSection,セクション内のステラーグレイス：残数$(0)個
common,0,ViewGuide,詳細はメインメニューをご確認下さい
common,0,ViewPersonalScoreTitle,このセクションのＳグレイス
common,0,ViewPersonalBoostTitle,Ｓグレイスブースト【個人】
common,0,ToastIntegrateTargetBoost,Ｓグレイスブースト【全体】の倍率が$(0)%に上昇しました。
common,1,WorldTrialName,Operación de recuperación de gracia estelar
common,1,WorldTrialNameS,Operación de recuperación de gracia estelar (Stia)
common,1,WorldTrialNameA,Operación de recuperación de gracia estelar (Aelio)
common,1,WorldTrialNameR,Operación de recuperación de gracia estelar (Retem)
common,1,WorldTrialNameK,Operación de recuperación de gracia estelar (Kvaris)
common,1,WorldTrialExplain,>dentro del plazo. La tasa de aparición rara aumenta según la cantidad recolectada.
common,1,WorldTrialExplainK,dentro del plazo. La tasa de aparición rara aumenta según la cantidad recolectada.
common,1,WorldTrialExplainR,椀琀栀椀渀 琀栀攀 琀椀洀攀 氀椀洀椀琀⸀ 吀栀攀 爀愀爀攀 搀爀漀瀀 爀愀琀攀 椀渀挀爀攀愀猀攀猀 戀礀 琀栀攀 愀洀漀甀渀琀 挀漀氀氀攀挀琀攀搀⸀
common,1,WorldTrialExplainA,椀琀栀椀渀 琀栀攀 琀椀洀攀 氀椀洀椀琀⸀ 吀栀攀 爀愀爀攀 搀爀漀瀀 爀愀琀攀 椀渀挀爀攀愀猀攀猀 戀礀 琀栀攀 愀洀漀甀渀琀 挀漀氀氀攀挀琀攀搀⸀
common,1,WorldTrialExplainS,dentro del límite de tiempo. La tasa de aparición rara aumenta según la cantidad recolectada.
common,1,WorldTrialExplain02,br>rate y la tarifa adquirida de Puntos de Temporada aumenta según la cantidad recaudada.
common,1,WorldTrialAbstract,Operación de recuperación de gracia estelar
common,1,MessageRemainingTreasure1,S Grace en el sector: $(0) restantes
common,1,MessageRemainingTreasure2,S Grace en el sector: $(0) restantes
common,1,MessageSectionComplate,¡Todas las gracias S del sector recogidas!
common,1,ToastTreasureAccess,Número de S Graces encontrados: $(0)/Impulso de S Grace actual [Personal]: $(1)%
common,1,ProgRemainingSection,Gracia estelar en el sector: $(0) restantes
common,1,ViewGuide,Confirme los detalles a través del menú principal
common,1,ViewPersonalScoreTitle,S Gracias en este Sector
common,1,ViewPersonalBoostTitle,S Grace Boost [Personal]
common,1,ToastIntegrateTargetBoost,La tarifa de S Grace Boost [Todos] ha aumentado a $(0)%.
type102,0,NpcComOnBegin,上空に、多数の飛翔体が確認されました！<br>ステラーグレイスが発生したものと思われます。
type102,0,NpcComOnBegin2,アークス各員は、各地に散らばった<br>角錐型のコンテナ回収をお願いします。
type102,0,NpcComOnSuccess,アークス各員の協力により、<br>目標数のコンテナ回収に成功しました！
type102,0,NpcComOnSuccess2,本作戦は完了となります。お疲れ様でした！
type102,0,NpcComOnFailure,規定数のコンテナ回収に至りませんでした。<br>これ以上の作戦継続は、防衛上の危険があると判断します。
type102,0,NpcComOnFailure2,ステラーグレイスのこれ以上の発見は困難と判断されました。<br>アークス各員は通常体制に移行してください。
type102,0,NpcComOnPersonalSuccess,十分な数のステラーグレイスを回収できました！
type102,0,NpcComOnPersonalSuccess2,ご協力ありがとうございました。
type102,0,NpcComOnSectionComplate,このセクション内のコンテナは、すべて回収されました。<br>他のセクションに向かってください。
type102,0,NpcComOnAllSectionComplate,十分な数のステラーグレイスを回収できました！<br>ご協力ありがとうございました。
type102,0,NpcComOnAllComplate,十分な数のステラーグレイスを回収できました！<br>ご協力ありがとうございました。
type102,0,NpcComOnIntegrateTargetScoreLevel2,全体目標スコアレベル2
type102,0,NpcComOnIntegrateTargetScoreLevel3,全体目標スコアレベル3
type102,0,NpcComOnIntegrateTargetScoreLevel4,全体目標スコアレベル4
type102,0,NpcComOnIntegrateTargetScoreLevel5,全体目標スコアレベル5
type102,1,NpcComOnBegin,Numerous projectiles detected overhead!<br>They seem to be releasing Stellar Grace.
type102,1,NpcComOnBegin2,We ask all ARKS defenders to retrieve the<br>pyramidal containers scattered throughout each area.
type102,1,NpcComOnSuccess,"Thanks to the hard work of all you ARKS defenders,<br>we successfully obtained the target number of containers!"
type102,1,NpcComOnSuccess2,Mission complete. Great work!
type102,1,NpcComOnFailure,We were unable to obtain the target number of containers.<br>Extending the operation any further will put a dent in our defenses.
type102,1,NpcComOnFailure2,It has been determined that further Stellar Grace discovery could be <br>difficult. All ARKS defenders are to return to standard operations.
type102,1,NpcComOnPersonalSuccess,An adequate number of Stellar Graces have been secured!
type102,1,NpcComOnPersonalSuccess2,Thank you for your support.
type102,1,NpcComOnSectionComplate,All containers in this Sector have been secured.<br>Please head to another Sector.
type102,1,NpcComOnAllSectionComplate,An adequate number of Stellar Graces have been secured! Thank you for your support!
type102,1,NpcComOnAllComplate,An adequate number of Stellar Graces have been secured! Thank you for your suppo
