section,group,id,text
Information,0,WindowTitle_Banner,WEBページリンク
Information,0,Guide_Focus,<%ChangeCtrlWindowForward><yellow>でWEBページリンク選択へ<c>
Information,0,Banner_ON,<pict bnr_on>
Information,0,Banner_OFF,<pict bnr_off>
Information,0,MenuLockMessage,この機能は、ゲームを進行させるとご利用いただけます。
Information,1,WindowTitle_Banner,ENLACE DE LA PÁGINA WEB
Information,1,Guide_Focus,<yellow> Continuar a la página web usando<c><%ChangeCtrlWindowForward>
Information,1,Banner_ON,<pict bnr_on>
Information,1,Banner_OFF,<pict bnr_off>
Information,1,MenuLockMessage,Debes avanzar más en el juego antes de poder utilizar esta fun
