section,group,id,text
st_039040,0,st_039040_0001,A.P.239/5/10/11:30
st_039040,0,st_039040_0010,あれは……アンガ・ファンダージ！
st_039040,0,st_039040_0020,……あれが【深遠なる闇】の触媒。<br>いえ……餌、なのね。
st_039040,0,st_039040_0030,ってか、あいつ何やってんだ？<br>地面に何か送ってるのか？
st_039040,0,st_039040_0040,……吸収されているって<br>表現の方が正しそうね。<br>そうでしょう、アウロラ？
st_039040,0,st_039040_0060,いったぁっ！<br>ちょっと何すんのよユクちゃん！
st_039040,0,st_039040_0070,あんた、あたしよりも年上のくせに<br>いつまでいじけてるつもりよ。
st_039040,0,st_039040_0080,い、いじけてなんか……！
st_039040,0,st_039040_0090,二度目。<br>感情筒抜けって話も<br>もう一度しなきゃダメ？
st_039040,0,st_039040_0100,あんた、自分が今ここに戻ってきた<br>その意味を考えなさい。
st_039040,0,st_039040_0110,フォトンが形をなすときは<br>良きにしろ悪しきにしろ、意味がある。
st_039040,0,st_039040_0120,じゃあ、【深遠なる闇】や<br>ダークファルスから切り離されて<br>戻ってきたあんたの意味は何？
st_039040,0,st_039040_0130,フォトンが今この時、この場所に<br>あんたを紡ぎ上げた意味って、何？<br>あんたがここにいる意味は、何よ？
st_039040,0,st_039040_0140,今ここにいる、意味……<br>アタシが、今ここに在る意味……
st_039040,0,st_039040_0150,起きてしまったことは仕方がない。<br>それを悔やみ続けても<br>なんにも変わらない。
st_039040,0,st_039040_0160,だから、もう後悔しないように<br>これからを頑張るしかないの。<br>……あんたも、あたしも。
st_039040,0,st_039040_0170,……ユクちゃんはどうして<br>そんなに強くいられるの？
st_039040,0,st_039040_0180,あたしだって、一人きりだったら<br>きっと自分の心に潰されてたわよ。<br>……でも。
st_039040,0,st_039040_0200,あたしを信じてくれるやつがいる。<br>だから、それで十分。
st_039040,0,st_039040_0210,ユクちゃんは、アタシを信じられる？<br>アタシを信じてくれるの？
st_039040,0,st_039040_0220,三度目。
st_039040,0,st_039040_0230,ここまであたしたちを連れてきたのは<br>あんたでしょうが！<br>ごちゃごちゃ悩むな、アウロラ！
st_039040,0,st_039040_0240,……まったく。いつもみんなを<br>激励する側だったアタシが……<br>こんな小娘に励まされるなんて。
st_039040,0,st_039040_0250,【深遠なる闇】復活の影響を受けて<br>ここに封印されてる【若人】の力が<br>復活しようとしている。
st_039040,0,st_039040_0260,わかりやすく言うと、餌を集めてる。<br>あのバケモノが、そうよ。
st_039040,0,st_039040_0270,なら、みすみす食べさせるわけには<br>いかないってことだな！
st_039040,0,st_039040_0280,ユクちゃん、食い止めましょう。<br>【若人】を、ここで……<br>アタシも、力を貸すから。
st_039040,0,st_039040_0285,力を貸す、って……？
st_039040,0,st_039040_0290,ユクちゃん、アタシの名を呼んで。<br>誰よりも煌々と輝き、舞い踊り<br>全てを魅了した、アタシの名を。
st_039040,0,st_039040_0300,アタシを象徴する、名を。<br>アタシから感じ取り<br>聞こえたその名を、呼んで。
st_039040,0,st_039040_0310,……魅せろ煌舞、アウロラ。
st_039040,0,st_039040_0320,この武器は……アウロラ、あんた？
st_039040,0,st_039040_0330,今のアタシは、フォトンが具現化したもの。<br>人の形のみならず武器にだってなれる。<br>ユクちゃん専用の、武器にね。
st_039040,0,st_039040_0340,……あたし、武器とかそういうの<br>結構乱暴に扱うわよ？
st_039040,0,st_039040_0350,……構わないわ。<br>痛い方が、救われるから。
st_039040,0,st_039040_0360,あいつが【若人】に喰われ尽くす前に<br>倒して切り離す！<br>いいわね、二人とも！
st_039040,0,st_039040_0370,おう！
st_039040,1,st_039040_0001,A.P.239/5/10/11:30
st_039040,1,st_039040_0010,Eso es... ¡un Anga Phandaj!
st_039040,1,st_039040_0020,Entonces esto es el catalizador -o deberia<br>llamarmelo comida- para la Profundidad Oscura?
