section,group,id,text
AcceptCondition,0,a1,特定のクライアントオーダーのクリア
AcceptCondition,0,a2,特定のクライアントオーダーのクリア
AcceptCondition,0,a3,スーパーハード受注許可証の所持
AreaName,0,Area0S,ハルフィリア湖
AreaName,0,Area0L,ハルフィリア湖
Basic,0,Title,想定演習：ハルフィリア湖の戦い
Basic,0,Explanation,よ。<br>――――――――――――――――――――――――――――――――――――――<br><yellow>※対象トリガーの換金や特定倉庫への移動でクエスト破棄／アシストNPC参加不可<c>
Basic,1,Title,Ejercicio: La batalla del lago Halphia
Basic,1,Explanation,cause the quest to be abandoned. / Assist NPCs cannot participate<c>
QuestTarget,0,SimpleExplanation,ダークファルス・エイジスを撃破せよ！
QuestTarget,1,SimpleExplanation,¡Destruye Dark Falz Aegis!
SuccessCondition,0,s0,対象エネミーの撃破
SuccessCondition,1,s0,Derrota a los enemigos objetivo.
